输入文本,生成问题,参考问题,改写问题,F1
"[['俞才斌', '属相', '牛']]",俞 才 斌 是 属 什 么 的 ？,你知道俞才斌属什么的吗？,请问俞才斌的属相是什么？,0.5951451659202576
"[['LOVE', '中文名', '爱'], ['爱', '制片地区', '大陆']]",请 问 love 的 中 文 名 是 在 哪 里 发 行 的 ？,LOVE的中文名上星期六属于哪里的？,请问LOVE的中文名是在哪里发行的？,0.5583297610282898
"[['三国连太郎', '亲属', '佐藤浩市']]",你 知 道 三 国 连 太 郎 是 谁 吗 ？,三国连太郎有哪些亲属？,三国连太郎的亲属是谁？,0.6424930691719055
"[['鲁商传媒集团', '业务范围', '报纸、杂志、网络、广播等']]",鲁 商 传 媒 集 团 的 业 务 范 围 是 什 么 ？,鲁商传媒集团的业务涵盖哪些范围？,鲁商传媒集团主要涉及哪些业务领域？,0.6845131516456604
"[['德森浩行', '日文', 'とくもり ひろゆき']]",你 知 道 德 森 浩 行 的 日 语 怎 么 拼 吗 ？,你知道德森浩行有日语怎么写吗？,请问德森浩行的日文名字怎么拼写？,0.5954961180686951
"[['北京禾佳源农业科技股份有限公司', '性质', '国家高新技术企业'], ['国家高新技术企业', '来源', '高新技术企业认定管理办法'], ['高新技术企业认定管理办法', '适用对象', '中国境内的高新技术企业']]",北 京 禾 佳 源 农 业 科 技 股 份 有 限 公 司 的 性 质 的 来 源 适 用 于 什 么 对 象 ？,北京禾佳源农业科技股份有限公司的性质的来源适用于什么对象？,请问北京禾佳源农业科技股份有限公司的性质来源适用于哪些对象？,0.6752681732177734
"[['哈德斯菲尔德镇足球俱乐部', '角逐赛事', '英格兰足球冠军联赛']]",哈 德 斯 菲 尔 德 镇 足 球 俱 乐 部 有 哪 些 赛 事 ？,哈德斯菲尔德镇足球俱乐部要参加什么赛事？,哈德斯菲尔德镇足球俱乐部参加了哪些赛事？,0.7335189580917358
"[['字母歌', '填词', '俞白眉'], ['俞白眉', '妻子', '代乐乐']]",字 母 歌 的 填 词 的 妻 子 叫 什 么 ？,字母歌的填词的妻子叫什么？,请问《字母歌》的填词人是谁，他的妻子是谁？,0.6151142120361328
"[['米克尔·比肖夫', '姓名', '米克尔·比肖夫']]",米 克 尔 · 比 肖 夫 的 姓 名 是 什 么 ？,你知道米克尔·比肖夫叫什么吗？,请问米克尔·比肖夫的姓名是什么？,0.6942926049232483
"[['穆皇后', '别称', '杨皇后'], ['杨皇后', '丈夫', '赵扩'], ['赵扩', '属相', '鼠']]",你 知 道 穆 皇 后 的 别 称 的 丈 夫 是 属 什 么 的 吗 ？,请问穆皇后的别称的丈夫是属什么的？,请问穆皇后的别称的丈夫的属相是什么？,0.5942214727401733
"[['艺术设计学（中国普通高等学校本科专业）', '授予学位', '艺术学学士']]",你 知 道 艺 术 设 计 学 是 什 么 学 科 的 吗 ？,你知道艺术设计学授予几年学位吗？,请问艺术设计学属于哪个学科的范畴？,0.6646817326545715
"[['酸碱灭火器', '使用方法', '松开手指，对准燃烧最猛烈处喷射']]",酸 碱 灭 火 器 怎 么 使 用 ？,请问酸碱灭火器的使用方法是什么？,请问酸碱灭火器应该如何使用？,0.6708264946937561
"[['虩（霹雳布袋戏虚拟人物）', '武器', '骨炼凶叉']]",转 使 用 的 是 什 么 武 器 ？,虩的武器有哪些呢？,虩（霹雳布袋戏虚拟人物）使用的武器是什么？,0.5644477009773254
"[['美拉', '主人', '无音'], ['无音', '敌人', '凌美琪'], ['凌美琪', '饰演者', '孙圳,赵今麦,周利书']]",我 想 知 道 美 拉 的 主 人 的 敌 人 是 谁 ？,我想知道美拉的主人的敌人都演过哪些角色呀？,请问美拉的主人的敌人是谁？,0.557215690612793
"[['吉安市井冈山风景旅游区', '景点级别', '国家AAAAA旅游景区']]",吉 安 市 井 冈 山 风 景 旅 游 区 的 景 点 级 别 是 什 么 ？,吉安市井冈山风景旅游区属于哪个级别的景点？,请问吉安市井冈山风景旅游区的景点级别是什么？,0.7498553395271301
"[['世界艾滋病日', '内容主题', '携手防疫抗艾、共担健康责任']]",《 世 界 艾 滋 病 日 》 的 内 容 主 题 是 什 么 ？,你知道世界艾滋病日是什么主题吗？,《世界艾滋病日》的主题内容是什么？,0.6615259647369385
"[['辽宁大学文学院', '主要院系', '汉语言文学、艺术设计学']]",辽 宁 大 学 文 学 院 主 要 有 哪 些 院 系 ？,辽宁大学文学院有哪些主要院系？,辽宁大学文学院主要有哪些院系？,0.7185507416725159
"[['彩虹六号（育碧发行的《汤姆·克兰西系列》之子系列）', '游戏引擎', 'Realblast']]",彩 虹 六 号 的 游 戏 引 擎 是 什 么 ？,彩虹六号的游戏引擎是什么？,请问《彩虹六号》（育碧发行的《汤姆·克兰西系列》之子系列）的游戏引擎是什么？,0.650690495967865
"[['全光谱战士', '发售日期', '2004 年 6 月 1 日']]",你 记 得 全 光 谱 战 士 的 发 售 日 期 吗 ？,全光谱战士的发售日期定在什么时候？,请问全光谱战士的发售日期是哪一天？,0.6821831464767456
"[['曹松', '出生地', '舒州'], ['舒州', '景点', '天柱山'], ['天柱山', '其他信息', '1982年天柱山旅游风景区又被国务院公布为全国首批国家级重点风景名胜区,92年又被批为国家级森林公园,2000年获“AAAA”旅游区称号']]",你 知 道 一 些 曹 松 的 出 生 地 的 景 点 的 其 他 信 息 吗 ？,你知道一些曹松的出生地的景点的其他信息吗？,曹松的出生地天柱山有哪些特别之处？,0.5780636668205261
"[['秘密与谎言（英国、法国1996年迈克·李执导电影）', 'imdb编码', 'tt0117589']]",秘 密 与 谎 言 的 imdb 编 码 是 什 么 ？,你知道秘密与谎言的imdb码是什么吗？,请问电影《秘密与谎言》的IMDb编码是多少？,0.6051735281944275
"[['Faithfully（梅艳芳专辑）', '语言', '粤语，英语']]",Faithfully 这 本 书 是 什 么 语 言 编 的 书,Faithfully是什么语？,请问 Faithfully 这 本 梅艳芳的专辑是使用什么语言编写的？,0.5488986372947693
"[['布依族', '节日', '三月三'], ['三月三', '节日饮食', '五色糯米饭']]",布 依 族 的 节 日 有 什 么 饮 食 习 惯 ？,布依族的节日有什么饮食习惯？,布依族的节日有哪些饮食传统？,0.6318634152412415
"[['The Stig', '真实身份', '未知']]",你 知 道 The Stig 真 实 的 身 份 吗 ？,你知道The Stig真实身份是什么吗,请问 The Stig 的真实身份是什么？,0.654736340045929
"[['酵母浸粉', '产品特点', '富含蛋白质、氨基酸']]",你 知 道 酵 母 浸 粉 的 产 品 特 点 吗 ？,你知道酵母浸粉这个产品有什么特征吗？,酵母浸粉的主要特点是什么？,0.6488769054412842
"[['龙头村（广东省汕头市外砂镇龙头村）', '医院', '外砂卫生院']]",龙 头 村 在 哪 个 医 院 ？,龙头村的医院叫什么名字？,请问龙头村在哪个医院？,0.600846529006958
"[['前卫风格家居', '代表', '藤制家具'], ['藤制家具', '优点', '环保']]",前 卫 风 格 家 居 的 代 表 有 哪 些 优 点 ？,前卫风格家居的代表有什么优势吗？,前卫风格家居的代表有哪些优点？,0.6466241478919983
"[['旅途', '填词', '刘力扬'], ['刘力扬', '代表作品', '礼物'], ['礼物', '发行时间', '2009年11月26日']]",旅 途 的 填 词 的 代 表 作 品 是 什 么 时 候 发 行 的 ？,旅途的填词的代表作品的发行时间是什么时候,请问《旅途》这首歌的填词人刘力扬的代表作品《礼物》是在哪一天发行的？,0.6091679334640503
"[['医疗事故分级标准（试行）', '颁布单位', '卫生部']]",医 疗 事 故 分 级 标 准 是 哪 个 单 位 颁 布 的 ？,《医疗事故分级标准》是哪个单位颁布了？,请问医疗事故分级标准是哪个单位颁布的？,0.7285026907920837
"[['涡螺科', '亚目', '涡螺科']]",涡 螺 科 属 于 亚 目 的 哪 一 科 ？,涡螺科属于什么亚目的？,涡螺科属于哪一亚目？,0.657704770565033
"[['证券上市制度', '管理', '上市公司管理']]",证 券 上 市 制 度 由 谁 管 理 ？,证券上市制度是谁管辖啊？,请问证券上市制度是由谁来管理的？,0.7092394232749939
"[['103国道', '终点站', '上海虹桥站'], ['上海虹桥站', '车站位置', '上海市闵行区申虹路']]",103 国 道 的 终 点 站 的 位 置 在 哪 ？,谁知道103国道的终点站的位置在哪里？,103 国道 的 终点站 位于 哪里 ？,0.5935699939727783
"[['工程机械液压与液力传动', '作者', '李芳民']]",工 程 机 械 液 压 与 液 力 传 动 的 作 者 是 谁 来 着 ？,你知道工程机械液压与液力传动的作者是谁吗？,请问工程机械液压与液力传动的作者是谁？,0.7375312447547913
"[['我在未来等你（2010年知识出版社出版的图书）', '页数', '230 页']]",我 在 未 来 等 你 有 多 少 页 ？,我在未来等你一共有多少页,请问《我在未来等你》这本书总共有多少页？,0.628999650478363
"[['斯万的爱情（2010年北京燕山出版社出版的图书）', '译者', '沈志明']]",斯 万 的 爱 情 是 谁 翻 译 的 ？,斯万的爱情由谁翻译的？,请问《斯万的爱情》这本书的译者是谁？,0.6270576119422913
"[['高速赛车', '游戏类别', '赛车游戏']]",你 知 道 高 速 赛 车 是 什 么 类 型 的 游 戏 吗 ？,高速赛车是什么类型的游戏？,请问高速赛车属于哪一类游戏？,0.6864252686500549
"[['挈', '五笔98', 'DHVR']]",挈 用 五 笔 怎 么 打 ？,挈在五笔输入法中怎么操作才能打出来？,请问挈字用五笔怎么打？,0.5258527994155884
"[['中西伯利亚', '人种', '部分白种人，大部分黄种人']]",中 西 伯 利 亚 是 什 么 人 种 ？,中西伯利亚是黄种人、白种人还是黑人呀,中 西 伯 利 亚 的 人 种 是 什 么 ？,0.7557353377342224
"[['四川福瑞抗震科技有限公司', '公司口号', '抗震救灾'], ['抗震救灾', '精神', '艰苦奋斗']]",四 川 福 瑞 抗 震 科 技 有 限 公 司 的 公 司 口 号 的 精 神 是 什 么 ？,请问四川福瑞抗震科技有限公司的公司口号的精神是什么？,四川福瑞抗震科技有限公司的口号所体现的精神是什么？,0.7151517271995544
"[['金羽兰', '退场', '霹霹至尊第十四集']]",金 羽 兰 是 什 么 时 候 退 场 的 ？,金羽兰在哪一集退场？,金羽兰是在哪一集《霹霹至尊》中退场的？,0.6637716889381409
"[['胎菊', '性味', '性微寒，味辛甘苦']]",请 问 胎 菊 是 什 么 味 道 的 ？,请问胎菊是什么性味？,请问胎菊的性味是什么？,0.6215853095054626
"[['辉长岩', '成分', '橄榄石'], ['橄榄石', '晶系', '斜方晶系']]",辉 长 岩 的 成 分 属 于 什 么 晶 系 ？,请问辉长岩的成分属于什么晶系？,辉长岩的成分属于什么晶系？,0.6422490477561951
"[['佛陀涅槃', '出土地点', '巴基斯坦']]",佛 陀 涅 槃 在 哪 里 出 土 的 ？,请问佛陀涅槃是在哪里出土的？,请问佛陀涅槃是在哪里出土的？,0.6435381174087524
"[['皮埃尔路易吉·卡西拉奇', '球衣号', '18号']]",皮 埃 尔 路 易 吉 · 卡 西 拉 奇 的 球 衣 号 是 多 少 ？,谁能告诉我皮埃尔路易吉·卡西拉奇穿的是几号？,皮埃尔路易吉·卡西拉奇穿的球衣号是多少？,0.7009977102279663
"[['唇（汉语文字）', '四角号码', '71263']]",唇 的 四 角 号 码 是 什 么 ？,唇的四角号码是多少啊？,请问唇这个汉字的四角号码是多少？,0.6133864521980286
"[['高明镜', '出生年月', '1953年9月']]",请 问 高 明 镜 是 什 么 时 候 出 生 的 ？,高明镜是什么时候出生的？,请问高明镜是哪一年出生的？,0.608212411403656
"[['毒舌，傲娇，小豆丁', '中文名', '傲娇'], ['傲娇', '形容', '经常口是心非的女人,经常口是心非的人']]",毒 舌 ， 傲 娇 ， 小 豆 丁 的 中 文 名 形 容 什 么 ？,谁知道毒舌，傲娇，小豆丁的中文名形容的是什么？,毒舌、傲娇、小豆丁的中文名具体指的是什么？,0.6594312191009521
"[['赤色约定', '小说类别', '异界大陆']]",《 赤 色 约 定 》 属 于 什 么 类 别 的 小 说 ？,你知道赤色约定是什么类型的小说吗？,请问《赤色约定》属于哪一类小说？,0.6437129378318787
"[['创伤性记忆', '缩写', 'PTSD']]",创 伤 性 记 忆 的 缩 写 是 什 么 ？,你知道创伤性记忆的缩写是什么吗？,创伤性记忆的缩写是什么？,0.6771371364593506
"[['viki（英文词汇）', '即', 'VIM WiKi']]",你 知 道 Viki 的 含 义 吗 ？,请问viki是什么？,请问 Viki 的含义是什么？,0.5722910761833191
"[['银（日本动画《黑之契约者》中的女主角）', '同伴', '黑、白、黄、猫、琥珀']]",银 的 同 伴 是 谁 ？,银的同伴是谁？,银在动画《黑之契约者》中的同伴有哪些？,0.5905238389968872
"[['阿里沙', '出生年月', '1990年2月14日']]",阿 里 沙 是 什 么 时 候 出 生 的 ？,阿里沙是哪年哪月哪日出生,请问阿里沙是哪一天出生的？,0.639217734336853
"[['前锋路站', '开通日期', '2016年7月31日']]",前 锋 路 站 是 什 么 时 候 开 通 的 ？,我想知道前锋路站的开通时间？,请问前锋路站是在哪一天开通的呢？,0.6409890055656433
"[['爱着啊', '唱片销量', '20万']]",爱 着 啊 的 唱 片 有 多 少 销 量 ？,你知道爱着啊的唱片销量是多少吗？,请问《爱着啊》这张唱片的销量是多少？,0.66605544090271
"[['少小离家老大回', '色彩', '黑白']]",少 小 离 家 老 大 回 的 色 彩 怎 么 样 ？,《少小离家老大回》有什么色彩？,请问《少小离家老大回》这首诗的色彩是什么样的？,0.7623786926269531
"[['中国生物医学工程学会', '组织性质', '全国公益非盈利性的社会组织']]",中 国 生 物 医 学 工 程 学 会 的 组 织 性 质 是 什 么 ？,中国生物医学工程学会是什么样的组织性质？,请问中国生物医学工程学会的组织性质是什么？,0.7377221584320068
"[['Redmi 8A', '发布时间', '2019年10月14日']]",你 知 道 Redmi 8A 是 什 么 时 候 发 布 的 吗 ？,Redmi 8A这个产品的发布时间爱你是什么时候啊？,Redmi 8A 是哪一天发布的？,0.6052473187446594
"[['统计从业资格证', '考试时间', '120分']]",你 知 道 统 计 从 业 资 格 证 的 考 试 时 间 吗 ？,统计从业资格证考试的时间由谁确定？,请问统计从业资格证的考试时间是多久？,0.7270484566688538
"[['和平主义者军团', '出生地', '世界政府'], ['世界政府', '创立者', '20个有野心的国王']]",请 问 是 谁 建 立 了 和 平 主 义 者 军 团 的 出 生 地 ？,请问是谁建立了和平主义者军团的出生地啊？,请问和平主义者军团的创立者是在哪里出生的？,0.6642917990684509
"[['陈章甫（原利津县副县长）', '逝世日期', '1948年']]",陈 章 甫 什 么 时 候 死 的 ？,你知道陈章甫的是什么时候去世的吗？,请问陈章甫（原利津县副县长）是在哪一年去世的？,0.5710613131523132
"[['法治的追求', '副标题', '理念'], ['理念', '释义2', '观念']]",法 治 的 追 求 的 副 标 题 有 什 么 释 义 ？,法治的追求的副标题有什么释义？,请问法治的追求的副标题的释义是什么？,0.6687933802604675
"[['纸面阎罗', '组织门派', '魔界']]",纸 面 阎 罗 属 于 什 么 门 派 ？,谁知道纸面阎罗是哪个门派的？,纸面阎罗属于哪个门派？,0.6501861810684204
"[['莉莉·波特（《哈利·波特》中的角色）', '血统', '麻瓜']]",莉 莉 · 波 特 的 血 统 是 什 么 ？,莉莉·波特的血统是什么？,莉莉·波特在《哈利·波特》系列中的血统背景是什么？,0.6892601251602173
"[['虐杀原形', '适合年龄', '18岁以上']]",虐 杀 原 形 适 合 什 么 年 龄 段 观 看 ？,我想知道虐杀原形适应人群是谁啊？,请问《虐杀原形》适合哪个年龄段的人观看？,0.6362693905830383
"[['与索罗斯一起走过的日子', '出版社', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",与 索 罗 斯 一 起 走 过 的 日 子 的 出 版 社 的 著 名 景 点 地 区 是 什 么 型 的 气 候 ？,与索罗斯一起走过的日子的出版社的著名景点地区是什么型的气候？,请问与索罗斯一起走过的日子的出版社所在地区的气候类型是什么？,0.6827201843261719
"[['欢乐今宵（香港无线电视综艺节目）', '节目类型', '综艺节目']]",欢 乐 今 宵 是 什 么 类 型 的 综 艺 ？,欢乐今宵是什么类型的节目啊？,欢乐今宵是哪一种类型的综艺节目呢？,0.658055305480957
"[['罪军', '写作进程', '新书上传']]",你 知 道 罪 军 的 写 作 进 程 吗 ？,《罪军》这本书的写作进程怎么样？,请问罪军的新书上传进度如何？,0.6838412880897522
"[['切割天井', '代表', '无底柱']]",切 割 天 井 的 代 表 者 都 有 哪 些 ？,请问切割天井的代表是谁？,请问切割天井的代表者有哪些？,0.6650980114936829
"[['西安大明宫遗址公园', '区域面积', '总面积为19．14平方公里']]",西 安 大 明 宫 遗 址 公 园 的 区 域 面 积 是 多 少 ？,西安大明宫遗址公园有多少面积？,请问西安大明宫遗址公园的总面积是多少？,0.718497097492218
"[['托尼·史塔克', '所属团队', '神盾局'], ['神盾局', '局长', '尼克·弗瑞']]",托 尼 · 史 塔 克 的 所 属 团 队 的 局 长 是 谁 ？,托尼·史塔克的所属团队局长是谁？,托尼·史塔克所在的团队的神盾局的局长是谁？,0.6938901543617249
"[['叉烧姜葱捞面', '主要原料', '高汤'], ['高汤', '主要食材', '骨头']]",叉 烧 姜 葱 捞 面 的 主 要 原 料 主 要 有 什 么 食 材 ？,请问叉烧姜葱捞面的主要原料的主要食材是什么？,叉烧姜葱捞面的主要原料主要有哪些食材？,0.6899669170379639
"[['Lucky Dog1', '脚本', '阵内、菅沼恭司']]",Lucky Dog1 的 脚 本 是 谁 ？,请问Lucky Dog1的脚本是谁？,请问Lucky Dog1的脚本是由谁编写的？,0.6002374887466431
"[['纳基', '登场作品', '东京食尸鬼'], ['东京食尸鬼', '其他名称', '东京喰种']]",纳 基 的 登 场 作 品 的 别 名 是 什 么 ？,纳基的登场作品还有哪些别的名称？,请问纳基的登场作品的别名是什么？,0.6083916425704956
"[['一氧化碳分析仪', '分辨率', '0.1 ppm']]",一 氧 化 碳 分 析 仪 的 分 辨 率 是 多 少 ？,一氧化碳分析仪的分辨率是什么？,请问一氧化碳分析仪的分辨率是多少？,0.7322814464569092
"[['成都中医药大学基础医学院', '教授', '17人']]",你 知 道 成 都 中 医 药 大 学 基 础 医 学 院 有 多 少 教 授 吗 ？,成都中医药大学基础医学院有多少教授？,成都中医药大学基础医学院有多少位教授？,0.7791956663131714
"[['白活', '解释2', '给白事情唱戏']]",白 活 的 意 思 是 什 么 ？,白活第二种解释是什么？,请问白活的具体含义是什么？,0.6092961430549622
