输入文本,生成问题,参考问题,改写问题,F1
"[['逃出生天（《战争前线》PVE地图）', '游戏画面', '3D']]",逃出生天的游戏画面是多少?,你知道逃出生天这款游戏的画面是怎样的吗？,逃出生天的游戏画面是多少?,0.6335139274597168
"[['炒烤肉', '主要食材', '羔羊羊腿肉400g，辣椒面，孜然，盐，油适量']]",炒烤肉的主要食材有什么?,炒烤肉的主要食材都有什么呀？,炒烤肉的主要食材有什么?,0.6274267435073853
"[['沟口秀胜', '补充', '本能寺之变后又跟随了旧主长秀']]",你知道沟口秀胜的补充是什么吗?,沟口秀胜的补充是什么？,你知道沟口秀胜的补充是什么吗?,0.6248353719711304
"[['刘莹（河北大学新闻传播学院讲师）', '研究领域', '新闻史、新媒体']]",刘莹研究的是什么领域?,刘莹的主要研究领域是哪里？,刘莹研究的是什么领域?,0.6025577187538147
"[['胡冠珍', '原名', '胡兢英']]",你知道胡冠珍原来叫什么吗?,你了解胡冠珍原名是什么么？,你知道胡冠珍原来叫什么吗?,0.6256017088890076
"[['破伤风梭菌', '病因', '粪便污染土壤，经伤口感染']]",你知道破伤风梭菌的病因是什么吗?,你知道破伤风梭菌是因为什么吗？,你知道破伤风梭菌的病因是什么吗?,0.6391792297363281
"[['盾牌座UY', '半径', '1708±192 R☉（有争议）']]",你知道盾牌座UY的半径是多少吗?,盾牌座UY你知道他的半径吗？,你知道盾牌座UY的半径是多少吗?,0.6452326774597168
"[['放弃也是一种爱（谢珊演唱歌曲）', '日期', '2009-10-21']]",你记得放弃也是一种爱是什么时候发行的吗?,放弃也是一种爱的发行日期是什么时候?,你记得放弃也是一种爱是什么时候发行的吗?,0.642922043800354
"[['自我价值', '基础', '对社会的贡献']]",自我价值的建立有什么基础?,自我价值是什么疗法啊？,自我价值的建立有什么基础?,0.6237908601760864
"[['设计成本控制', '阐述', '生产而事先测算的产品成本']]",设计成本控制是什么意思?,请问设计成本控制是什么意思？,设计成本控制是什么意思?,0.6632949709892273
"[['北京京铁大酒店', '建成时间', '1999年']]",北京京铁大酒店什么时候建成的?,北京京铁大酒店是哪年建成的？,北京京铁大酒店什么时候建成的?,0.7096150517463684
"[['InStyle优家画报', '创办者', 'Time Inc和现代传播集团']]",谁创办了InStyle优家画报?,我想了解一下InStyle优家画报是由谁创办的？,谁创办了InStyle优家画报?,0.6288272142410278
"[['康奈尔大学法学院', '学生', '660']]",康奈尔大学法学院有多少学生?,康奈尔大学法学院有多少学生？,康奈尔大学法学院有多少学生?,0.7300392389297485
"[['卡贝莱', '出生年月', '1987年2月17日']]",卡贝莱是什么时候出生的?,有人知道卡贝莱是哪年哪月出生的吗？,卡贝莱是什么时候出生的?,0.607368528842926
"[['香港廉政公署', '总部地址', '香港特别行政区北角']]",香港廉政公署的总部在什么地方啊你知道吗?,请问香港廉政公署的总部地址在哪里？,香港廉政公署的总部在什么地方啊你知道吗?,0.7185640931129456
"[['认真和我谈恋爱！！（2009年みなとそふと开发的恋爱冒险电脑游戏）', '游戏平台', 'PC(Windows2000/XP/Vista)']]",认真和我谈恋爱!!在哪个游戏平台?,认真和我谈恋爱的游戏平台是什么呀?,认真和我谈恋爱!!在哪个游戏平台?,0.638334333896637
"[['冀馆春夕见月', '作者', '宋朝'], ['宋朝', '主要城市', '西京河南府,北京大名府,南京应天府\xa0,临安,西京（今洛阳）,北京（今大名）,建康,南京（今商丘）']]",冀馆春夕见月的作者主要有哪些城市?,冀馆春夕见月的作者主要都有哪些城市？,冀馆春夕见月的作者主要有哪些城市?,0.5759889483451843
"[['上海弋泰国际贸易有限公司', '公司简称', '弋泰国际']]",上海弋泰国际贸易有限公司的公司名称是什么?,大家知道上海弋泰国际贸易有限公司的简称是什么吗？,上海弋泰国际贸易有限公司的公司名称是什么?,0.7425021529197693
"[['人本主义学习理论', '兴起时间', '20世纪五六十年代']]",人本主义学习理论什么时候兴起的?,什么时候人本主义学习理论兴起的？,人本主义学习理论什么时候兴起的?,0.689177393913269
"[['三大骑士团', '分支', '条顿骑士团'], ['条顿骑士团', '指挥官', 'Hochmeister Bruno Platter']]",谁指挥了三大骑士团的分支?,谁指挥了三大骑士团的分支？,谁指挥了三大骑士团的分支?,0.6876201629638672
"[['僰', '部首', '人']]",的部首是什么?,告诉我僰这个字的偏旁部首是什么？,的部首是什么?,0.5623192191123962
"[['阿司匹林缓释片', '剂型', '片剂']]",阿司匹林缓释片的剂型是什么?,阿司匹林缓释片属于哪种剂型？,阿司匹林缓释片的剂型是什么?,0.7365593910217285
"[['禹州市文殊高级中学', '现任校长', '宋文才']]",禹州市文殊高级中学现在的校长叫什么?,禹州市文殊高级中学的现任校长是谁？,禹州市文殊高级中学现在的校长叫什么?,0.7771860957145691
"[['说谎的女人（2010年江苏文艺出版社出版的图书）', '印张', '6']]",说谎的女人的印张是多少?,说谎的女人印张一共有几个？,说谎的女人的印张是多少?,0.6113448143005371
"[['杨乃乔', '专业', '比较文学与世界文学']]",你知道杨乃乔是什么专业的吗?,杨乃乔学习的是什么专业来着？,你知道杨乃乔是什么专业的吗?,0.5653213858604431
"[['东京迷城', '分级', 'B级（CERO）']]",东京迷城的分级是多少啊?,东京迷城的分级是多少？,东京迷城的分级是多少啊?,0.6666870713233948
"[['金水新苑', '环线位置', '外环外']]",金水新苑的环线位置是?,金水新苑的位置在哪？,金水新苑的环线位置是?,0.6652173399925232
"[['多孔陶瓷', '原料', '堇青石'], ['堇青石', '硬度', '7～7.5（摩尔硬度）']]",请问多孔陶瓷的原料的硬度是多少?,多孔陶瓷的原料的硬度是多少？,请问多孔陶瓷的原料的硬度是多少?,0.6467042565345764
"[['开水炉', '又称', '茶水炉'], ['茶水炉', '构造', '炉膛']]",开水炉的又称的构造是什么?,你知道开水炉的又称的主要构成吗？,开水炉的又称的构造是什么?,0.6264100074768066
"[['俞才斌', '属相', '牛']]",俞才斌是什么属相?,你知道俞才斌属什么的吗？,俞才斌是什么属相?,0.5951451659202576
"[['LOVE', '中文名', '爱'], ['爱', '制片地区', '大陆']]",LOVE的中文名是哪个地区制片的?,LOVE的中文名上星期六属于哪里的？,LOVE的中文名是哪个地区制片的?,0.5583298206329346
"[['三国连太郎', '亲属', '佐藤浩市']]",三国连太郎的亲属是谁?,三国连太郎有哪些亲属？,三国连太郎的亲属是谁?,0.6424930691719055
"[['鲁商传媒集团', '业务范围', '报纸、杂志、网络、广播等']]",鲁商传媒集团的业务范围是什么?,鲁商传媒集团的业务涵盖哪些范围？,鲁商传媒集团的业务范围是什么?,0.6845131516456604
"[['德森浩行', '日文', 'とくもり ひろゆき']]",德森浩行用日文怎么写?,你知道德森浩行有日语怎么写吗？,德森浩行用日文怎么写?,0.5954961776733398
"[['北京禾佳源农业科技股份有限公司', '性质', '国家高新技术企业'], ['国家高新技术企业', '来源', '高新技术企业认定管理办法'], ['高新技术企业认定管理办法', '适用对象', '中国境内的高新技术企业']]",请问北京禾佳源农业科技股份有限公司的性质的来源适用于什么对象?,北京禾佳源农业科技股份有限公司的性质的来源适用于什么对象？,请问北京禾佳源农业科技股份有限公司的性质的来源适用于什么对象?,0.6752681732177734
"[['哈德斯菲尔德镇足球俱乐部', '角逐赛事', '英格兰足球冠军联赛']]",哈德斯菲尔德镇足球俱乐部参加什么赛事?,哈德斯菲尔德镇足球俱乐部要参加什么赛事？,哈德斯菲尔德镇足球俱乐部参加什么赛事?,0.7335189580917358
"[['字母歌', '填词', '俞白眉'], ['俞白眉', '妻子', '代乐乐']]",请问字母歌的填词的妻子是谁啊?,字母歌的填词的妻子叫什么？,请问字母歌的填词的妻子是谁啊?,0.6151142120361328
"[['米克尔·比肖夫', '姓名', '米克尔·比肖夫']]",米克尔比肖夫的姓名是什么?,你知道米克尔·比肖夫叫什么吗？,米克尔比肖夫的姓名是什么?,0.6942926049232483
"[['穆皇后', '别称', '杨皇后'], ['杨皇后', '丈夫', '赵扩'], ['赵扩', '属相', '鼠']]",请问穆皇后的别称的丈夫是什么属相的人?,请问穆皇后的别称的丈夫是属什么的？,请问穆皇后的别称的丈夫是什么属相的人?,0.5942214727401733
"[['艺术设计学（中国普通高等学校本科专业）', '授予学位', '艺术学学士']]",艺术设计学授予的学位是什么?,你知道艺术设计学授予几年学位吗？,艺术设计学授予的学位是什么?,0.6646817326545715
"[['酸碱灭火器', '使用方法', '松开手指，对准燃烧最猛烈处喷射']]",你知道酸碱灭火器怎么用吗?,请问酸碱灭火器的使用方法是什么？,你知道酸碱灭火器怎么用吗?,0.6708264946937561
"[['虩（霹雳布袋戏虚拟人物）', '武器', '骨炼凶叉']]",使用的是什么武器?,虩的武器有哪些呢？,使用的是什么武器?,0.5644477009773254
"[['美拉', '主人', '无音'], ['无音', '敌人', '凌美琪'], ['凌美琪', '饰演者', '孙圳,赵今麦,周利书']]",我想知道美拉的主人的敌人都演过哪些角色呀?,我想知道美拉的主人的敌人都演过哪些角色呀？,我想知道美拉的主人的敌人都演过哪些角色呀?,0.557215690612793
"[['吉安市井冈山风景旅游区', '景点级别', '国家AAAAA旅游景区']]",吉安市井冈山风景旅游区的景点级别是什么?,吉安市井冈山风景旅游区属于哪个级别的景点？,吉安市井冈山风景旅游区的景点级别是什么?,0.7498553395271301
"[['世界艾滋病日', '内容主题', '携手防疫抗艾、共担健康责任']]",世界艾滋病日的内容主题是什么?,你知道世界艾滋病日是什么主题吗？,世界艾滋病日的内容主题是什么?,0.6615259647369385
"[['辽宁大学文学院', '主要院系', '汉语言文学、艺术设计学']]",辽宁大学文学院有哪些院系?,辽宁大学文学院有哪些主要院系？,辽宁大学文学院有哪些院系?,0.7185506820678711
"[['彩虹六号（育碧发行的《汤姆·克兰西系列》之子系列）', '游戏引擎', 'Realblast']]",彩虹六号的游戏引擎是什么?,彩虹六号的游戏引擎是什么？,彩虹六号的游戏引擎是什么?,0.650690495967865
"[['全光谱战士', '发售日期', '2004 年 6 月 1 日']]",你记得全光谱战士是哪天发售的吗?,全光谱战士的发售日期定在什么时候？,你记得全光谱战士是哪天发售的吗?,0.6821832060813904
"[['曹松', '出生地', '舒州'], ['舒州', '景点', '天柱山'], ['天柱山', '其他信息', '1982年天柱山旅游风景区又被国务院公布为全国首批国家级重点风景名胜区,92年又被批为国家级森林公园,2000年获“AAAA”旅游区称号']]",曹松的出生地的景点有什么其他信息吗?,你知道一些曹松的出生地的景点的其他信息吗？,曹松的出生地的景点有什么其他信息吗?,0.5780636668205261
"[['秘密与谎言（英国、法国1996年迈克·李执导电影）', 'imdb编码', 'tt0117589']]",你知道秘密与谎言的imdb编码是多少吗?,你知道秘密与谎言的imdb码是什么吗？,你知道秘密与谎言的imdb编码是多少吗?,0.6051735281944275
"[['Faithfully（梅艳芳专辑）', '语言', '粤语，英语']]",Faithfully是什么语言?,Faithfully是什么语？,Faithfully是什么语言?,0.5488986372947693
"[['布依族', '节日', '三月三'], ['三月三', '节日饮食', '五色糯米饭']]",布依族的节日有哪些好吃的?,布依族的节日有什么饮食习惯？,布依族的节日有哪些好吃的?,0.6318634152412415
"[['The Stig', '真实身份', '未知']]",The Stig的真实身份是什么,你知道The Stig真实身份是什么吗,The Stig的真实身份是什么,0.654736340045929
"[['酵母浸粉', '产品特点', '富含蛋白质、氨基酸']]",酵母浸粉的产品特点是什么?,你知道酵母浸粉这个产品有什么特征吗？,酵母浸粉的产品特点是什么?,0.6488768458366394
"[['龙头村（广东省汕头市外砂镇龙头村）', '医院', '外砂卫生院']]",龙头村的医院叫什么名字?,龙头村的医院叫什么名字？,龙头村的医院叫什么名字?,0.6008465886116028
"[['前卫风格家居', '代表', '藤制家具'], ['藤制家具', '优点', '环保']]",前卫风格家居的代表有什么优点?,前卫风格家居的代表有什么优势吗？,前卫风格家居的代表有什么优点?,0.6466241478919983
"[['旅途', '填词', '刘力扬'], ['刘力扬', '代表作品', '礼物'], ['礼物', '发行时间', '2009年11月26日']]",旅途的填词的代表作品何时发行的?,旅途的填词的代表作品的发行时间是什么时候,旅途的填词的代表作品何时发行的?,0.6091679930686951
"[['医疗事故分级标准（试行）', '颁布单位', '卫生部']]",医疗事故分级标准(试行)是由哪个单位颁布的?,《医疗事故分级标准》是哪个单位颁布了？,医疗事故分级标准(试行)是由哪个单位颁布的?,0.7285026907920837
"[['涡螺科', '亚目', '涡螺科']]",涡螺科属于什么亚目?,涡螺科属于什么亚目的？,涡螺科属于什么亚目?,0.657704770565033
"[['证券上市制度', '管理', '上市公司管理']]",证券上市制度属于什么管理?,证券上市制度是谁管辖啊？,证券上市制度属于什么管理?,0.7092394232749939
"[['103国道', '终点站', '上海虹桥站'], ['上海虹桥站', '车站位置', '上海市闵行区申虹路']]",请问103国道的终点站在哪里啊?,谁知道103国道的终点站的位置在哪里？,请问103国道的终点站在哪里啊?,0.5935699939727783
"[['工程机械液压与液力传动', '作者', '李芳民']]",工程机械液压与液力传动是谁写的?,你知道工程机械液压与液力传动的作者是谁吗？,工程机械液压与液力传动是谁写的?,0.7375312447547913
"[['我在未来等你（2010年知识出版社出版的图书）', '页数', '230 页']]",我在未来等你有多少页?,我在未来等你一共有多少页,我在未来等你有多少页?,0.6289997100830078
"[['斯万的爱情（2010年北京燕山出版社出版的图书）', '译者', '沈志明']]",斯万的爱情是谁翻译的啊?,斯万的爱情由谁翻译的？,斯万的爱情是谁翻译的啊?,0.6270576119422913
"[['高速赛车', '游戏类别', '赛车游戏']]",高速赛车属于什么游戏类别?,高速赛车是什么类型的游戏？,高速赛车属于什么游戏类别?,0.6864252686500549
"[['挈', '五笔98', 'DHVR']]",你知道挈的五笔98是什么吗?,挈在五笔输入法中怎么操作才能打出来？,你知道挈的五笔98是什么吗?,0.5258527994155884
"[['中西伯利亚', '人种', '部分白种人，大部分黄种人']]",中西伯利亚的人是什么族?,中西伯利亚是黄种人、白种人还是黑人呀,中西伯利亚的人是什么族?,0.7557352781295776
"[['四川福瑞抗震科技有限公司', '公司口号', '抗震救灾'], ['抗震救灾', '精神', '艰苦奋斗']]",四川福瑞抗震科技有限公司的公司口号的精神是什么?,请问四川福瑞抗震科技有限公司的公司口号的精神是什么？,四川福瑞抗震科技有限公司的公司口号的精神是什么?,0.7151517271995544
"[['金羽兰', '退场', '霹霹至尊第十四集']]",金羽兰是什么时候退场的?,金羽兰在哪一集退场？,金羽兰是什么时候退场的?,0.6637716889381409
"[['胎菊', '性味', '性微寒，味辛甘苦']]",胎菊是什么味道的?,请问胎菊是什么性味？,胎菊是什么味道的?,0.6215853095054626
"[['辉长岩', '成分', '橄榄石'], ['橄榄石', '晶系', '斜方晶系']]",请问辉长岩的成分属于哪种晶系?,请问辉长岩的成分属于什么晶系？,请问辉长岩的成分属于哪种晶系?,0.6422490477561951
"[['佛陀涅槃', '出土地点', '巴基斯坦']]",佛陀涅槃是在哪里出土的?,请问佛陀涅槃是在哪里出土的？,佛陀涅槃是在哪里出土的?,0.6435381174087524
"[['皮埃尔路易吉·卡西拉奇', '球衣号', '18号']]",皮埃尔路易吉卡西拉奇的球衣是几号?,谁能告诉我皮埃尔路易吉·卡西拉奇穿的是几号？,皮埃尔路易吉卡西拉奇的球衣是几号?,0.7009977102279663
"[['唇（汉语文字）', '四角号码', '71263']]",唇的四角号码是多少?,唇的四角号码是多少啊？,唇的四角号码是多少?,0.6133864521980286
"[['高明镜', '出生年月', '1953年9月']]",你知道高明镜的出生年月吗?,高明镜是什么时候出生的？,你知道高明镜的出生年月吗?,0.608212411403656
"[['毒舌，傲娇，小豆丁', '中文名', '傲娇'], ['傲娇', '形容', '经常口是心非的女人,经常口是心非的人']]","请问毒舌,傲娇,小豆丁的中文名形容的是什么?",谁知道毒舌，傲娇，小豆丁的中文名形容的是什么？,"请问毒舌,傲娇,小豆丁的中文名形容的是什么?",0.6594312191009521
"[['赤色约定', '小说类别', '异界大陆']]",赤色约定属于什么类别?,你知道赤色约定是什么类型的小说吗？,赤色约定属于什么类别?,0.6437129378318787
"[['创伤性记忆', '缩写', 'PTSD']]",创伤性记忆的缩写是什么?,你知道创伤性记忆的缩写是什么吗？,创伤性记忆的缩写是什么?,0.6771370768547058
"[['viki（英文词汇）', '即', 'VIM WiKi']]",你知道viki是什么意思吗?,请问viki是什么？,你知道viki是什么意思吗?,0.5722910761833191
"[['银（日本动画《黑之契约者》中的女主角）', '同伴', '黑、白、黄、猫、琥珀']]",银有哪些伙伴?,银的同伴是谁？,银有哪些伙伴?,0.5905237793922424
"[['阿里沙', '出生年月', '1990年2月14日']]",你知道阿里沙是什么时候出生的吗?,阿里沙是哪年哪月哪日出生,你知道阿里沙是什么时候出生的吗?,0.639217734336853
"[['前锋路站', '开通日期', '2016年7月31日']]",前锋路站什么时候开通的?,我想知道前锋路站的开通时间？,前锋路站什么时候开通的?,0.6409890055656433
"[['爱着啊', '唱片销量', '20万']]",爱着啊的唱片销量是多少?,你知道爱着啊的唱片销量是多少吗？,爱着啊的唱片销量是多少?,0.6660553812980652
"[['少小离家老大回', '色彩', '黑白']]",少小离家老大回是什么颜色的?,《少小离家老大回》有什么色彩？,少小离家老大回是什么颜色的?,0.7623786926269531
"[['中国生物医学工程学会', '组织性质', '全国公益非盈利性的社会组织']]",中国生物医学工程学会是什么性质的组织?,中国生物医学工程学会是什么样的组织性质？,中国生物医学工程学会是什么性质的组织?,0.7377221584320068
"[['Redmi 8A', '发布时间', '2019年10月14日']]",你知道Redmi 8A的发布时间吗?,Redmi 8A这个产品的发布时间爱你是什么时候啊？,你知道Redmi 8A的发布时间吗?,0.6052473187446594
"[['统计从业资格证', '考试时间', '120分']]",统计从业资格证的考试时间是什么时候啊?,统计从业资格证考试的时间由谁确定？,统计从业资格证的考试时间是什么时候啊?,0.7270484566688538
"[['和平主义者军团', '出生地', '世界政府'], ['世界政府', '创立者', '20个有野心的国王']]",和平主义者军团的出生地是谁创立的?,请问是谁建立了和平主义者军团的出生地啊？,和平主义者军团的出生地是谁创立的?,0.6642917990684509
"[['陈章甫（原利津县副县长）', '逝世日期', '1948年']]",陈章甫是什么时候逝世的,你知道陈章甫的是什么时候去世的吗？,陈章甫是什么时候逝世的,0.5710613131523132
"[['法治的追求', '副标题', '理念'], ['理念', '释义2', '观念']]",请问法治的追求的副标题的释义是什么?,法治的追求的副标题有什么释义？,请问法治的追求的副标题的释义是什么?,0.6687933802604675
"[['纸面阎罗', '组织门派', '魔界']]",纸面阎罗属于哪个门派?,谁知道纸面阎罗是哪个门派的？,纸面阎罗属于哪个门派?,0.6501861810684204
"[['莉莉·波特（《哈利·波特》中的角色）', '血统', '麻瓜']]",莉莉波特的血统是什么?,莉莉·波特的血统是什么？,莉莉波特的血统是什么?,0.6892601251602173
"[['虐杀原形', '适合年龄', '18岁以上']]",虐杀原形适合什么年龄段观看?,我想知道虐杀原形适应人群是谁啊？,虐杀原形适合什么年龄段观看?,0.6362692713737488
"[['与索罗斯一起走过的日子', '出版社', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",与索罗斯一起走过的日子的出版社的著名景点适应什么气候?,与索罗斯一起走过的日子的出版社的著名景点地区是什么型的气候？,与索罗斯一起走过的日子的出版社的著名景点适应什么气候?,0.6827201843261719
"[['欢乐今宵（香港无线电视综艺节目）', '节目类型', '综艺节目']]",欢乐今宵是什么类型的节目?,欢乐今宵是什么类型的节目啊？,欢乐今宵是什么类型的节目?,0.658055305480957
"[['罪军', '写作进程', '新书上传']]",罪军的写作进程怎么样?,《罪军》这本书的写作进程怎么样？,罪军的写作进程怎么样?,0.6838412880897522
"[['切割天井', '代表', '无底柱']]",切割天井的代表者都有哪些?,请问切割天井的代表是谁？,切割天井的代表者都有哪些?,0.6650980114936829
"[['西安大明宫遗址公园', '区域面积', '总面积为19．14平方公里']]",西安大明宫遗址公园的区域面积是多少?,西安大明宫遗址公园有多少面积？,西安大明宫遗址公园的区域面积是多少?,0.718497097492218
"[['托尼·史塔克', '所属团队', '神盾局'], ['神盾局', '局长', '尼克·弗瑞']]",谁是托尼史塔克的所属团队的局长?,托尼·史塔克的所属团队局长是谁？,谁是托尼史塔克的所属团队的局长?,0.6938902139663696
"[['叉烧姜葱捞面', '主要原料', '高汤'], ['高汤', '主要食材', '骨头']]",请问叉烧姜葱捞面的主要原料的主要食材都有什么?,请问叉烧姜葱捞面的主要原料的主要食材是什么？,请问叉烧姜葱捞面的主要原料的主要食材都有什么?,0.6899669170379639
"[['Lucky Dog1', '脚本', '阵内、菅沼恭司']]",你知道Lucky Dog1的脚本是谁写的吗?,请问Lucky Dog1的脚本是谁？,你知道Lucky Dog1的脚本是谁写的吗?,0.6002374887466431
"[['纳基', '登场作品', '东京食尸鬼'], ['东京食尸鬼', '其他名称', '东京喰种']]",纳基的登场作品还有什么其他名称吗,纳基的登场作品还有哪些别的名称？,纳基的登场作品还有什么其他名称吗,0.6083916425704956
"[['一氧化碳分析仪', '分辨率', '0.1 ppm']]",一氧化碳分析仪的分辨率是多少?,一氧化碳分析仪的分辨率是什么？,一氧化碳分析仪的分辨率是多少?,0.7322814464569092
"[['成都中医药大学基础医学院', '教授', '17人']]",成都中医药大学基础医学院的教授有多少人?,成都中医药大学基础医学院有多少教授？,成都中医药大学基础医学院的教授有多少人?,0.7791956663131714
"[['白活', '解释2', '给白事情唱戏']]",白活是什么意思?,白活第二种解释是什么？,白活是什么意思?,0.6092961430549622
"[['无水氢氟酸', '中文别名', '氟化氢'], ['氟化氢', '中文名', '氢氟酸'], ['氢氟酸', '摩尔质量', '20.01']]",请问氢氟酸的摩尔质量是多少?,无水氢氟酸的中文别名的中文名的摩尔质量是多少？,请问氢氟酸的摩尔质量是多少?,0.6841147541999817
"[['烛龙', '对手', '拓拔野'], ['拓拔野', '妻子', '纤纤']]",烛龙的对手的妻子叫什么?,请问烛龙的对手的妻子是谁啊？,烛龙的对手的妻子叫什么?,0.6089657545089722
"[['新立庄村（河北省秦皇岛市抚宁区留守营镇新立庄村）', '常住人口', '354人']]",你知道新立庄村的常住人口有多少吗?,新立庄村有多少人常住呢？,你知道新立庄村的常住人口有多少吗?,0.6320203542709351
"[['2-氯-3-溴吡啶', '中文别名', '3-溴-2-氯吡啶;3-溴-2-氯砒啶']]",你知道2-氯-3-溴吡啶的中文别名是什么吗?,2-氯-3-溴吡啶还有什么别名你知道吗？,你知道2-氯-3-溴吡啶的中文别名是什么吗?,0.703060507774353
"[['南开区', '区长', '孙剑楠']]",南开区的区长是谁,南开区的区长是谁？,南开区的区长是谁,0.6590341925621033
"[['凯美瑞', '生产厂商', '广汽丰田']]",凯美瑞的生产厂商是什么?,我想知道凯美瑞是什么公司生产的？,凯美瑞的生产厂商是什么?,0.5995510816574097
"[['僵尸归来（2013年西班牙恐怖电影）', '导演', 'Manuel Carballo']]",僵尸归来的导演是谁啊?,你知道僵尸归来的导演是谁吗？,僵尸归来的导演是谁啊?,0.6185699701309204
"[['哥斯拉：奇异点', '作画监督', '石野聪']]",哥斯拉:奇异点的作画监督是谁?,哥斯拉：奇异点是谁负责监督作画？,哥斯拉:奇异点的作画监督是谁?,0.683173656463623
"[['海马滩', '地址', '南沙群岛岛礁之一']]",海马滩在什么地方?,请问海马滩具体位置在哪里啊？,海马滩在什么地方?,0.5874341130256653
"[['丸美弹力蛋白眼精华', '所属公司', '丸美'], ['丸美', '代言人', '杨子姗']]",谁是丸美弹力蛋白眼精华的所属公司的品牌代言人?,丸美弹力蛋白眼精华的所属公司曾经有过哪些代言人？,谁是丸美弹力蛋白眼精华的所属公司的品牌代言人?,0.7049055099487305
"[['絮凝体', '阶段', '凝聚和絮凝']]",絮凝体属于哪个阶段?,絮凝体有几个阶段啊？,絮凝体属于哪个阶段?,0.6631052494049072
"[['古蔺县', '著名人物', '奢香、邓均吾、王星、傅华封等']]",古蔺县有哪些有名的人?,请问古蔺县有哪些出名的人？,古蔺县有哪些有名的人?,0.5948942303657532
"[['乾盛康中药泡腾片', '营养', '碳酸氢钠'], ['碳酸氢钠', '熔点', '270℃（分解）,270°C分解℃,851℃']]",乾盛康中药泡腾片的营养的熔点是多少?,你知道乾盛康中药泡腾片的营养的熔点吗？,乾盛康中药泡腾片的营养的熔点是多少?,0.6479517221450806
"[['太上忘情', '门派', '五毒'], ['五毒', '来自', '剑侠情缘网络版叁'], ['剑侠情缘网络版叁', '收费模式', '时间收费（月卡,点卡两种模式）']]",请问太上忘情的门派的来自怎么充值?,请问太上忘情的门派的来自的收费模式是什么样的？,请问太上忘情的门派的来自怎么充值?,0.6172436475753784
"[['岳常澧道', '归类', '清行政区划名']]",岳常澧道属于什么?,有人知道岳常澧道属于什么类别吗？,岳常澧道属于什么?,0.5293617844581604
"[['市场空隙', '前提', '跳出原有的思维定势']]",市场空隙的前提是什么?,谁了解市场空隙的前提是什么？,市场空隙的前提是什么?,0.6436735987663269
"[['李春雪', '所在地', '浙江杭州市']]",李春雪在哪里?,你知道李春雪在哪吗？,李春雪在哪里?,0.5787084698677063
"[['团圆饭（中国民俗）', '又叫', '“年夜饭”“团年饭']]",团圆饭又叫什么?,团圆饭又叫做什么？,团圆饭又叫什么?,0.6299163103103638
"[['微分方程', '发明人', '艾萨克·牛顿'], ['艾萨克·牛顿', '研究领域', '科学']]",微分方程的发明人主要研究哪些领域?,请说出微分方程的发明人的研究领域是什么？,微分方程的发明人主要研究哪些领域?,0.6149101257324219
"[['可乐罐', '软件大小', '2.57 MB']]",可乐罐软件有多大?,你知道可乐罐的软件有多大吗？,可乐罐软件有多大?,0.6247820258140564
