模型名字,平均 BLEU 分数,平均 METEOR 分数,平均 ROUGE-L 分数
bart_NLPCC_02_03_14_54,0.7418112867305381,0.8291635631845032,0.8652369592481604
,输入文本,生成问题,参考问题,BLEU,METEOR,ROUGE-L
,"generate question: [['纵马五代', '小说作者', '昭武校尉'], ['昭武校尉', '废除时间', '元']]",纵 马 五 代 的 小 说 作 者 是 什 么 时 候 废 除 的 ？,纵马五代的小说作者是什么时候废除的？,1.0,0.9995,1.0
,"generate question: [['我要玩陌陌', '谱曲', '李萌'], ['李萌', '喜欢的歌手', 'DRE']]",我 要 玩 陌 陌 的 谱 曲 最 喜 欢 哪 个 歌 手 ？,我要玩陌陌的谱曲最喜欢哪个歌手？,1.0,0.9993141289437586,1.0
,"generate question: [['何保冬', '民族', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",请 问 何 保 冬 的 民 族 的 著 名 景 点 地 区 是 什 么 型 的 气 候 ？,何保冬的民族的著名景点地区是什么型的气候？,0.9036020036098448,0.9906187178914452,0.949080622347949
,"generate question: [['柔步双狮拳', '使用者', '日向雏田'], ['日向雏田', '妹妹', '日向花火'], ['日向花火', '归属', '火之国·木叶忍者村']]",柔 步 双 狮 拳 的 使 用 者 的 妹 妹 属 于 什 么 地 方 ？,请问柔步双狮拳的使用者的妹妹属于哪个地方啊？,0.6406914384370698,0.7585268884703913,0.8318181818181818
,"generate question: [['PSYCHO-PASS 心理测量者 2', '中文名', '心理测量者'], ['心理测量者', '代理发行', '富士创意公司（海外）群英社（中国台湾,中国香港）Funimation（加拿大,美国）']]",PSYCHO - PASS 心 理 测 量 者 2 的 中 文 名 由 谁 代 理 发 行 ？,谁是PSYCHO-PASS 心理测量者 2的中文名的代理发行商？,0.5548726605111576,0.6914617698931425,0.7011494252873562
,"generate question: [['波斯尼亚语', '地区', '波斯尼亚和黑塞哥维那'], ['波斯尼亚和黑塞哥维那', '政治体制', '直接民主共和制']]",请 问 波 斯 尼 亚 语 的 地 区 的 政 治 体 制 是 什 么 样 的 ？,请问波斯尼亚语的地区的政治体制是什么样的？,1.0,0.9995,1.0
,"generate question: [['硝烟再起', '作者', '橄榄石'], ['橄榄石', '比重', '3.34（+0.14,-0.07）']]",硝 烟 再 起 的 作 者 的 比 重 是 多 少 ？,你知道硝烟再起的作者的比重是多少吗？,0.6872892787909722,0.7469334112149533,0.866785079928952
,"generate question: [['吴废后', '别称', '吴皇后'], ['吴皇后', '坟墓', '永思陵']]",吴 废 后 的 别 称 的 坟 墓 叫 什 么 ？,哪里是吴废后的别称的坟墓？,0.6147881529512643,0.7114285714285714,0.7142857142857143
,"generate question: [['密花红光树', '属', '红光树属'], ['红光树属', '属拼音名', 'hongguangshushu']]",密 花 红 光 树 的 属 的 拼 音 怎 么 写 ？,密花红光树的属用拼音怎么说？,0.5133450480401704,0.7052154195011338,0.7777777777777778
,"generate question: [['张春阳', '代表作品', '包头医学院学报'], ['包头医学院学报', '主办单位', '包头医学院'], ['包头医学院', '教职工', '2544名']]",张 春 阳 的 代 表 作 品 的 主 办 单 位 有 多 少 名 教 职 工 ？,你知道张春阳的代表作品的主办单位有多少教职工吗？,0.6406914384370698,0.7585268884703913,0.8318181818181818
,"generate question: [['竹中重治', '主君', '丰臣秀吉'], ['丰臣秀吉', '坟墓', '丰国神社']]",竹 中 重 治 的 主 君 的 坟 墓 在 哪 里 ？,竹中重治的主君的坟墓在哪里？,1.0,0.9990234375,1.0
,"generate question: [['石榴根', '别称', '天浆'], ['天浆', '词义', '浆汁']]",石 榴 根 的 别 称 的 词 义 是 ？,石榴根的别称的词义是？,1.0,0.9985422740524781,1.0
,"generate question: [['十六年', '所属专辑', '神雕侠侣'], ['神雕侠侣', '集数', '湖南卫视版54集/未删减版52集']]",十 六 年 的 所 属 专 辑 一 共 有 多 少 集,新版十六年的所属专辑一共有多少集,0.8824969025845955,0.8979985955056179,0.9512670565302144
,"generate question: [['左岩', '代表作品', '中华好诗词'], ['中华好诗词', '主持人', '王凯'], ['王凯', '外文名', 'Wang Kai']]",左 岩 的 代 表 作 品 的 主 持 人 用 英 文 怎 么 说 ？,你知道左岩的代表作品的主持人的外文名字是什么吗？,0.28617394805234075,0.19841269841269843,0.4699537750385208
,"generate question: [['坡头乡', '政府驻地', '坡头'], ['坡头', '土地总面积', '89平方公里']]",坡 头 乡 的 政 府 驻 地 的 面 积 共 有 多 少 ？,坡头乡的政府驻地的面积共有多少？,1.0,0.9993141289437586,1.0
,"generate question: [['渡川之战', '主要指挥官', '一条兼定'], ['一条兼定', '相关事件', '四万十川连斩数十人']]",渡 川 之 战 的 主 要 指 挥 官 发 生 了 什 么 相 关 事 件 ？,谁知道渡川之战的主要指挥官做了什么？,0.4518010018049224,0.6918367346938775,0.7000000000000001
,"generate question: [['赵启平', '配音', '王凯'], ['王凯', '爱好', '唱歌,主持,睡觉,shopping']]",你 知 道 赵 启 平 的 配 音 有 什 么 爱 好 吗 ？,谁能告诉我赵启平的配音有什么爱好？,0.525624059490303,0.6046576879910214,0.6376306620209059
,"generate question: [['奥利朗吉斯凯里亚德酒店', '地理位置', '奥利机场'], ['奥利机场', '机场代码', 'ORY']]",奥 利 朗 吉 斯 凯 里 亚 德 酒 店 的 地 理 位 置 的 机 场 代 码 是 多 少 ？,谁能告诉我奥利朗吉斯凯里亚德酒店的地理位置的机场代码是多少？,0.7351414805916845,0.7829543024167676,0.8880179171332586
,"generate question: [['草房', '线路', '北京地铁6号线'], ['北京地铁6号线', '车辆基地', '五里桥车辆段']]",谁 知 道 草 房 的 线 路 有 哪 些 车 辆 基 地 ？,草房的线路有多少处基地？,0.3155984539112945,0.6722222222222223,0.6112224448897796
,"generate question: [['阿尔忒弥斯', '其他名称', '狄安娜'], ['狄安娜', '别称', '阿尔忒弥斯'], ['阿尔忒弥斯', '象征', '松柏']]",请 问 阿 尔 忒 弥 斯 的 其 他 名 称 的 别 称 代 表 着 什 么 啊 ？,请问阿尔忒弥斯的其他名称的别称代表着什么啊？,1.0,0.9997106481481481,1.0
,"generate question: [['dear j', '别名', '虎牙'], ['虎牙', '本质', '常见的畸形']]",dear j 的 别 名 的 本 质 是 什 么 ？,dear j的别名的本质是什么？,1.0,0.9985422740524781,1.0
,"generate question: [['星曜传说', '主要角色', '狄安娜'], ['狄安娜', '别称', '阿尔忒弥斯'], ['阿尔忒弥斯', '象征', '松柏']]",请 问 星 曜 传 说 的 主 要 角 色 的 别 称 代 表 着 什 么 啊 ？,请问星曜传说的主要角色的别称代表着什么啊？,1.0,0.9997106481481481,1.0
,"generate question: [['旅途', '填词', '刘力扬'], ['刘力扬', '代表作品', '礼物'], ['礼物', '所属专辑', '转寄刘力扬']]",旅 途 的 填 词 的 代 表 作 品 出 自 哪 张 专 辑 ？,旅途的填词的代表作品出自哪张专辑？,1.0,0.9990234375,1.0
,"generate question: [['丁教授乳癖肿痛乳康贴', '主要原料', '川芎'], ['川芎', '中文学名', '川芎']]",丁 教 授 乳 癖 肿 痛 乳 康 贴 的 主 要 原 料 1 号 属 于 什 么 类 型 ？,你们知道丁教授乳癖肿痛乳康贴的主要原料1号属于什么类型吗？,0.8071177470053894,0.8381705975803494,0.9192680301399355
,"generate question: [['水北街镇', '别名', '水北街'], ['水北街', '被称为', '杭州市文物保护点']]",水 北 街 镇 的 别 名 被 称 为 什 么 ？,水北街镇的别名又叫做什么？,0.5410822690539396,0.7361111111111112,0.75
,"generate question: [['阿贝尔', '兄弟姐妹', '阿尔忒弥斯'], ['阿尔忒弥斯', '象征', '松柏']]",请 问 阿 贝 尔 的 兄 弟 姐 妹 代 表 着 什 么 啊 ？,请问阿贝尔的兄弟姐妹代表着什么啊？,1.0,0.9990234375,1.0
,"generate question: [['犯罪工具', '出处', '现代汉语词典'], ['现代汉语词典', '版次', '六次现代汉语词典（第6版）']]",犯 罪 工 具 的 出 处 出 版 了 几 次 ？,你知道犯罪工具的出处出版了几次吗？,0.6514390575310556,0.7205975173574584,0.850597609561753
,"generate question: [['褚梅宏', '毕业院校', '山东英才学院'], ['山东英才学院', '学校地址', '山东省济南市高新区英才路2号']]",褚 梅 宏 的 毕 业 院 校 在 哪 里 ？,褚梅宏的毕业院校在哪里？,1.0,0.9976851851851852,1.0
,"generate question: [['国姓庄', '下辖地区', '北港溪'], ['北港溪', '源头', '七星岭']]",国 姓 庄 的 下 辖 地 区 的 源 头 是 什 么 ？,国姓庄的下辖地区起源于哪里？,0.44632361378533286,0.6194444444444446,0.6112224448897796
,"generate question: [['东北沦陷时期女性作家群体', '代表', '梅娘'], ['梅娘', '出生地', '海参崴']]",东 北 沦 陷 时 期 女 性 作 家 群 体 的 代 表 在 哪 里 出 生 的 ？,东北沦陷时期女性作家群体的代表出生在哪里？,0.6865890479690392,0.9444568535477627,0.8628005657708628
,"generate question: [['中国科学院遥感应用研究所灾害与环境遥感研究室', '研究领域', '沙尘暴'], ['沙尘暴', '成因', '大风天气频繁']]",中 国 科 学 院 遥 感 应 用 研 究 所 灾 害 与 环 境 遥 感 研 究 室 的 研 究 领 域 的 成 因 是 什 么 ？,中国科学院遥感应用研究所灾害与环境遥感研究室的研究领域的成因是什么？,1.0,0.9998518518518519,1.0
,"generate question: [['英德拉图要塞', '来源', '永恒之塔'], ['永恒之塔', '发行商', '盛大游戏']]",英 德 拉 图 要 塞 的 来 源 的 运 营 商 是 什 么 ？,英德拉图要塞的来源的运营商是什么？,1.0,0.9993141289437586,1.0
,"generate question: [['图书馆、情报与档案管理', '中文名', '情报与档案管理'], ['情报与档案管理', '二级学科', '120502情报学']]",图 书 馆 、 情 报 与 档 案 管 理 的 中 文 名 属 于 一 级 学 科 吗 ？,图书馆、情报与档案管理的中文名的二级学科是什么？,0.4861555413051454,0.582287961055982,0.6724409448818898
,"generate question: [['休斯敦火箭队', '知名人物', '詹姆斯·哈登'], ['詹姆斯·哈登', '专业特点', '欧洲步']]",休 斯 敦 火 箭 队 的 知 名 人 物 有 什 么 专 业 特 点 ？,你知道休斯敦火箭队的知名人物有什么特点吗？,0.6010525952194526,0.7349537037037036,0.8146911519198664
,"generate question: [['王诗龄', '好友', '张悦轩'], ['张悦轩', '好友', '田雨橙,小小志,王诗龄,郭子睿']]",王 诗 龄 的 好 友 的 好 朋 友 都 有 谁 ？,你知道王诗龄的好友的好朋友都有谁吗？,0.7165313105737893,0.7687031761105836,0.8798076923076923
,"generate question: [['亮马桥', '地铁', '北京地铁10号线'], ['北京地铁10号线', '车辆基地', '3座']]",请 问 亮 马 桥 的 地 铁 有 哪 些 车 辆 基 地 ？,亮马桥的地铁有哪些车辆基地？,0.8408964152537145,0.9844782983615982,0.9222462203023757
,"generate question: [['伊尔库茨克', '著名景点', '贝加尔湖'], ['贝加尔湖', '历史', '25-30万年']]",伊 尔 库 茨 克 的 著 名 景 点 有 多 少 年 的 历 史 ？,你知道伊尔库茨克的著名景点有多少年的历史吗？,0.6872892787909722,0.7469334112149533,0.866785079928952
,"generate question: [['中华人民共和国国务院机关事务管理局', '机构性质', '国务院直属机构'], ['国务院直属机构', '行政级别', '副部级']]",中 华 人 民 共 和 国 国 务 院 机 关 事 务 管 理 局 的 机 构 性 质 属 于 什 么 级 别 的 行 政 ？,中华人民共和国国务院机关事务管理局的机构性质属于什么级别的行政？,1.0,0.9997106481481481,1.0
,"generate question: [['马元坤', '父亲', '马云'], ['马云', '国籍', '中国']]",马 元 坤 的 父 亲 来 自 哪 里 ？,你们知道马元坤的父亲先生的国籍吗？,0.2608840516436559,0.32877604166666663,0.5236051502145923
,"generate question: [['南京晓庄学院学报', '编辑单位', '南京晓庄学院'], ['南京晓庄学院', '主管部门', '江苏省人民政府']]",请 问 南 京 晓 庄 学 院 学 报 的 编 辑 单 位 的 主 管 部 门 是 哪 ？,请问南京晓庄学院学报的编辑单位的主管部门是哪？,1.0,0.9997106481481481,1.0
,"generate question: [['鲁迪·费尔南德斯', '国籍', '西班牙'], ['西班牙', '国庆日', '10月12日'], ['10月12日', '出生名人', '丁玲']]",鲁 迪 · 费 尔 南 德 斯 的 国 籍 的 国 庆 日 出 生 了 哪 些 名 人 ？,你知道哪个名人是在鲁迪·费尔南德斯的国籍的国庆日出生的吗？,0.40069408658882905,0.4353448275862069,0.580952380952381
,"generate question: [['AP', '中文名', '动作电位'], ['动作电位', '特点', '“全或无”不叠加,不衰减性传导']]",AP 的 中 文 名 有 什 么 特 点 ？,AP的中文名有什么特点？,1.0,0.9976851851851852,1.0
,"generate question: [['黑色火种', '代表作品', '地狱公寓'], ['地狱公寓', '其他相关作品', '死咒岛']]",黑 色 火 种 的 代 表 作 品 有 什 么 其 他 相 关 作 品 ？,黑色火种的代表作品有什么其他相关作品？,1.0,0.9993141289437586,1.0
,"generate question: [['中国城镇化发展速度与质量问题研究', '出版社', '东北大学'], ['东北大学', '现任校长', '赵继']]",中 国 城 镇 化 发 展 速 度 与 质 量 问 题 研 究 的 出 版 社 现 在 的 校 长 叫 什 么 ？,你知道中国城镇化发展速度与质量问题研究的出版社现在的校长是谁吗？,0.6965213790689596,0.7342961254304149,0.8010101010101011
,"generate question: [['于杭清', '毕业院校', '大连大学'], ['大连大学', '主管部门', '大连市人民政府']]",于 杭 清 的 毕 业 院 校 的 主 管 部 门 是 什 么 ？,请问于杭清的毕业院校是由什么地方主管？,0.38875142041440197,0.5300453514739228,0.7128547579298832
,"generate question: [['艾丽西娅', '归属', '魔法少女奈叶'], ['魔法少女奈叶', '主要配音', '清水爱']]",艾 丽 西 娅 的 归 属 的 主 要 配 音 都 有 谁 ？,艾丽西娅的归属的主要配音都有谁？,1.0,0.9993141289437586,1.0
,"generate question: [['京都念慈庵蜜炼川贝枇杷膏', '成分', '川贝母'], ['川贝母', '族', '百合族']]",京 都 念 慈 庵 蜜 炼 川 贝 枇 杷 膏 的 成 分 属 于 什 么 族 ？,京都念慈庵蜜炼川贝枇杷膏的成分属于什么族？,1.0,0.9996243425995492,1.0
,"generate question: [['九刀流', '使用者', '罗罗亚·索隆'], ['罗罗亚·索隆', '初次登场', '漫画第3话,动画第2集']]",九 刀 流 的 使 用 者 什 么 时 候 初 次 登 场 ？,请问九刀流的使用者第一次是在什么时候出现的？,0.2493651438887133,0.4406130268199233,0.6224489795918368
,"generate question: [['安平生活网', '类别', '网络营销平台'], ['网络营销平台', '是指', '网站']]",什 么 事 安 平 生 活 网 的 类 别 ？,什么事安平生活网的类别？,1.0,0.9985422740524781,1.0
,"generate question: [['刘', '姓氏', '刘姓'], ['刘姓', '主要分布', '日本']]",请 问 刘 的 姓 氏 在 哪 些 地 方 有 ？,请问刘的姓氏都在哪些地方有？,0.5154486831107657,0.8757427021441488,0.9446902654867256
,"generate question: [['孽海升龙曲', '作者', '元始天尊'], ['元始天尊', '司掌', '万物之主']]",孽 海 升 龙 曲 的 作 者 负 责 什 么 ？,请问孽海升龙曲的作者负责什么？,0.8668778997501817,0.884784293464221,0.9446902654867256
,"generate question: [['花', '歌曲原唱', '喜纳昌吉'], ['喜纳昌吉', '罗马音', 'Kina Shōkich']]",请 问 花 的 歌 曲 原 唱 用 罗 马 音 怎 么 读 ？,请问花的歌曲原唱用罗马音怎么读？,1.0,0.9995,1.0
,"generate question: [['最后一分钟，爱你', '中文名', '最后一分钟'], ['最后一分钟', '选自', '人教版小学五年级上册七单元24课']]",最 后 一 分 钟 ， 爱 你 的 中 文 名 选 自 于 哪 里 ？,你知道最后一分钟，爱你的中文名选自什么吗？,0.41266825715677186,0.516044061302682,0.6224489795918368
,"generate question: [['通灵同人、血染莲', '作者', '异次元'], ['异次元', '术语', '高维空间”']]",通 灵 同 人 、 血 染 莲 的 作 者 的 术 语 是 什 么 ？,谁知道通灵同人、血染莲的作者的术语是什么？,0.8187307530779819,0.8470338983050848,0.9242424242424241
,"generate question: [['图纹玛瑙', '类别', '玛瑙'], ['玛瑙', '化学式', 'SiO2']]",图 纹 玛 瑙 的 类 别 的 化 学 式 是 什 么 ？,你知道图纹玛瑙的类别的化学式吗？,0.6004287712485592,0.6725967540574282,0.7134502923976607
,"generate question: [['九江镇', '著名景点', '兰桂坊'], ['兰桂坊', '车速限制', '50公里/小时']]",请 问 九 江 镇 的 著 名 景 点 的 车 速 限 制 是 多 少 ？,九江镇的著名景点的车速限制是多少？,0.8633400213704505,0.9866898148148149,0.931297709923664
,"generate question: [['深圳市华冠颜料有限公司', '经营范围', '水晶'], ['水晶', '晶系', '三方晶系']]",深 圳 市 华 冠 颜 料 有 限 公 司 的 经 营 范 围 属 于 什 么 晶 系 ？,请问紫深圳市华冠颜料有限公司的经营范围属于什么晶系？,0.800737402916808,0.8327617741197989,0.9165275459098498
,"generate question: [['刘楚先', '别名', '子良'], ['子良', '父', '楚昭王,士子孔']]",刘 楚 先 的 别 名 的 父 亲 叫 什 么 ？,刘楚先的别名的父亲叫什么？,1.0,0.9990234375,1.0
,"generate question: [['黄府茶业', '总部地点', '大别山'], ['大别山', '范围', '信阳']]",黄 府 茶 业 的 总 部 地 点 的 所 在 范 围 是 什 么 ？,黄府茶业的总部地点的所在范围是什么？,1.0,0.9995,1.0
,"generate question: [['犬六联活疫苗', '用途', '犬瘟热'], ['犬瘟热', '传染性', '有传染性,高']]",犬 六 联 活 疫 苗 的 用 途 有 什 么 传 染 性 ？,犬六联活疫苗的用途有什么传染性？,1.0,0.9990234375,1.0
,"generate question: [['文县', '下辖地区', '城关镇'], ['城关镇', '行政区类别', '镇']]",你 知 道 文 县 的 下 辖 地 区 是 什 么 类 型 的 行 政 区 ？,你知道文县的下辖地区是什么类型的行政区？,1.0,0.9996243425995492,1.0
,"generate question: [['11464法律网', '下设', '劳动'], ['劳动', '中文名', '劳动']]",11464 法 律 网 的 下 设 监 察 条 例 是 关 于 什 么 的 条 例 ？,云南省11464法律网的下设监察条例是关于什么的条例？,0.9131007162822624,0.9240225015626085,0.9640804597701149
,"generate question: [['世界的另一个世界', '作者', '一路向西'], ['一路向西', '分级', '三级']]",请 问 世 界 的 另 一 个 世 界'作 者 是 如 何 分 级 的 ？,请问世界的另一个世界的作者属于什么级别的电影？,0.41368176800977946,0.5487060546875001,0.6768377253814147
,"generate question: [['PAH', '类型', '有机化合物'], ['有机化合物', '主要包括', '含碳化合物,碳氢化合物等']]",你 知 道 PAH 的 类 型 主 要 包 括 哪 些 吗 ？,你知道PAH的类型主要包括哪些吗？,1.0,0.9993141289437586,1.0
,"generate question: [['族序数', '内容', '元素周期表'], ['元素周期表', '创造者', '德米特里·伊万诺维奇·门捷列夫']]",族 序 数 的 内 容 是 谁 创 立 的 ？,告诉我族序数的内容是谁创立的呀？,0.6548907866815301,0.7132444814660558,0.7936802973977695
,"generate question: [['火影忍者究极风暴世代', '主要角色', '我爱罗'], ['我爱罗', '师傅', '马基']]",火 影 忍 者 究 极 风 暴 世 代 的 主 要 角 色 的 师 傅 是 谁 ？,你知道火影忍者究极风暴世代的主要角色的作者是谁吗？,0.5648427586489798,0.7270072992700731,0.8176943699731903
,"generate question: [['光井爱佳', '毕业时间', '2012'], ['2012', '别名', '2012世界末日']]",光 井 爱 佳 的 毕 业 时 间 款 高 尔 夫 1. 4t 自 动 蓝 驱 版 是 在 哪 年 上 市 的 ？,请问光井爱佳的毕业时间款高尔夫1.4t自动蓝驱版是在哪年上市的？,0.9355069850316178,0.943256464011181,0.9734042553191491
,"generate question: [['石化蜥蜴', '别称', '巨蜥'], ['巨蜥', '亚目', '蜥蜴亚目']]",石 化 蜥 蜴 的 别 称 属 于 什 么 亚 目 ？,科莫多石化蜥蜴的别称是什么亚目的？,0.28319415510892393,0.4989690721649485,0.6075697211155379
,"generate question: [['龙天之火影记', '作者', '文明古国'], ['文明古国', '泛指', '中国']]",龙 天 之 火 影 记 的 作 者 泛 指 什 么 ？,请问龙天之火影记的作者是指哪些国家？,0.46761439722697934,0.5594496365524403,0.6500888099467139
,"generate question: [['她', '谱曲', '朱晨辰'], ['朱晨辰', '昵称', '虎牙'], ['虎牙', '本质', '常见的畸形']]",她 的 谱 曲 的 昵 称 的 本 质 是 什 么 ？,她的谱曲的昵称的本质是什么？,1.0,0.9993141289437586,1.0
,"generate question: [['水库村', '养殖产业', '牛'], ['牛', '亚目', '反刍亚目']]",水 库 村 的 养 殖 产 业 属 于 什 么 亚 目 的 ？,你知道利木赞水库村的养殖产业属于什么亚目吗？,0.5201870634468553,0.5974184545613117,0.6842948717948718
,"generate question: [['展翅翱翔', '作者', '浙江'], ['浙江', '历史名人', '金庸']]",展 翅 翱 翔 的 作 者 有 哪 些 历 史 名 人 ？,你知道展翅翱翔的作者有哪些历史名人吗？,0.6514390575310556,0.7205975173574584,0.850597609561753
,"generate question: [['丹青', '其他名称', '朱成璧'], ['朱成璧', '原型', '孝恭仁皇后']]",丹 青 的 其 他 名 称 的 原 型 是 什 么 ？,谁是丹青的其他名称的原型？,0.7071067811865475,0.864795918367347,0.75
,"generate question: [['宙斯', '兄弟姐妹', '哈迪斯'], ['哈迪斯', '兄弟姐妹', '宙斯'], ['宙斯', '子女', '赫拉克勒斯']]",你 知 道 宙 斯 的 兄 弟 姐 妹 的 姐 弟 弟 妹 的 子 女 是 谁 吗 ？,宙斯的兄弟姐妹的兄弟姐妹的子女是谁？,0.3867706276352344,0.7978723404255319,0.7041847041847041
,"generate question: [['SPN', '中文名', '邪恶力量'], ['邪恶力量', '图像制式', '1080i (HDTV)']]",SPN 的 中 文 名 的 图 像 制 式 是 什 么 ？,SPN的中文名的图像制式是什么？,1.0,0.9990234375,1.0
,"generate question: [['中李固村', '火车站', '新乡东站'], ['新乡东站', '股道数目', '7,6']]",中 李 固 村 的 火 车 站 有 多 少 股 道 ？,谁知道中李固村的火车站有几个股道？,0.4630777161991027,0.7059558517284465,0.7936802973977695
,"generate question: [['弗朗兹·康拉德·冯·赫岑多夫', '相关事件', '第一次世界大战'], ['第一次世界大战', '伤亡情况', '协约国总士兵阵亡:,5,497,600同盟国总士兵阵亡:,3,382,500交战双方受伤总数：1000万左右平民死亡总数：6,493,000,同盟国总士兵阵亡:3,协约国总士兵阵亡:5,600,500']]",请 问 弗 朗 兹 · 康 拉 德 · 冯 · 赫 岑 多 夫 的 相 关 事 件 总 共 有 多 少 人 伤 亡 ？,请问弗朗兹·康拉德·冯·赫岑多夫的相关事件总共有多少人伤亡？,1.0,0.9997724169321802,1.0
,"generate question: [['儿歌、绕口令、谜语', '书名', '谜语'], ['谜语', '起源', '先秦时代']]",儿 歌 、 绕 口 令 、 谜 语 的 书 名 起 源 于 那 里 ？,你知道儿歌、绕口令、谜语的书名起源于那里吗？,0.6514390575310556,0.7205975173574584,0.850597609561753
,"generate question: [['教皇', '代表作品', '圣诞节'], ['圣诞节', '设立机构', '罗马教会']]",哪 个 机 构 设 立 了 教 皇 的 代 表 作 品 ？,哪个机构设立了教皇的代表作品？,1.0,0.9985422740524781,1.0
,"generate question: [['从未在意', '歌曲原唱', '萧正楠'], ['萧正楠', '代表作品', '当旺爸爸'], ['当旺爸爸', '拍摄时间', '2011年8月-10月']]",从 未 在 意 的 歌 曲 原 唱 的 代 表 作 品 是 什 么 时 候 拍 摄 的 ？,你知道从未在意的歌曲原唱的代表作品是什么时候拍的吗？,0.6436919453755474,0.7460504863102266,0.8314745972738538
,"generate question: [['税法全程系统训练', '作者', '张清芳'], ['张清芳', '代表作品', '激情过后'], ['激情过后', '发行时间', '2011-08-26']]",税 法 全 程 系 统 训 练 的 作 者 的 代 表 作 品 是 什 么 时 候 发 行 的 ？,你记得税法全程系统训练的作者的代表作品是什么时候发行的吗？,0.7939226578179512,0.8278370331285569,0.913594470046083
,"generate question: [['闪电', '中文名', '殷素素'], ['殷素素', '哥哥', '殷野王'], ['殷野王', '所处时代', '元末']]",闪 电 的 中 文 名 的 哥 哥 处 于 什 么 时 代 ？,闪电的中文名的哥哥 处于什么时代？,1.0,0.9990234375,1.0
,"generate question: [['双飞人', '别名', '双飞人爽水'], ['双飞人爽水', '包装规格', '50ml,30ml,10ml,3ml']]",双 飞 人 的 别 名 的 包 装 规 格 是 多 少 ？,双飞人的别名有什么规格的？,0.3303164318013807,0.6944444444444445,0.5820610687022901
,"generate question: [['票据托管', '特点', '中国银行'], ['中国银行', '公司名称', '中国银行']]",票 据 托 管 的 特 点 的 公 司 名 称 是 什 么 ？,谁知道票据托管的特点100周年纪念钞是由哪个单位发行的？,0.16959011078459055,0.39062499999999994,0.4363376251788269
