输入文本,生成问题,参考问题,改写问题
"[['七濑陆', '讨厌', '医院的味道']]",你 知 道 七 濑 陆 讨 厌 什 么 吗 ？,七濑陆讨厌什么,七濑陆不喜欢什么气味？
"[['胆绿素', '形态特征', '深绿色片状或柱状结晶']]",胆 绿 素 的 形 态 特 征 是 什 么 ？,胆绿素有哪些形态特征？,胆绿素的形状是什么样的？
"[['8比特', '获得方式', '荣誉之路6000杯奖励']]",你 知 道 8 比 特 是 如 何 获 得 的 吗 ？,要怎么获得8比特啊,请问8比特是通过什么方式获得的？
"[['华中农业大学学术委员会', '所属院校', '华中农业大学']]",华 中 农 业 大 学 学 术 委 员 会 属 于 哪 个 院 校 ？,华中农业大学学术委员会属于哪所大学呢？,请问华中农业大学学术委员会隶属于哪所学校？
"[['康居国', '地理', '西域三十六国之一']]",你 知 道 康 居 国 的 地 理 位 置 吗 ？,和康居国有关的地理知识有哪些？,康居国位于哪里？
"[['Ich Liebe Dich（Andrea Bocelli演唱歌曲）', '出版公司', '环球唱片']]",Ich Liebe Dich 是 哪 个 公 司 出 版 的 ？,你知道Ich Liebe Dich是哪个公司出版的吗,请问环球唱片是哪首歌的出版公司？
"[['藤山柳属', '引种状况', '非引种']]",藤 山 柳 属 的 引 种 状 况 如 何 ？,藤山柳属属于引种吗？,藤山柳属是引进来的吗？
"[['东方仗助', '伙伴', '广濑康一、虹村亿泰、岸边露伴、矢安宫重清']]",东 方 仗 助 有 哪 些 伙 伴 ？,你知道东方仗助的伙伴都有谁吗,请问东方仗助的伙伴有哪些？
"[['何清华（西南大学心理学部教授）', '发表论文数量', '80篇（截至2019年7月）']]",你 知 道 何 清 华 有 多 少 发 表 论 文 吗 ？,搜一下何清华有几遍论文,何清华截至2019年7月发表了多少篇论文？
"[['中华人民共和国第一届全国人民代表大会第五次会议', '会议时间', '1958年2月1日']]",中 华 人 民 共 和 国 第 一 届 全 国 人 民 代 表 大 会 第 五 次 会 议 是 什 么 时 候 开 始 的 ？,你知道中华人民共和国第一届全国人民代表大会第五次会议是什么时候开会吗？,请问中华人民共和国第一届全国人民代表大会第五次会议是在什么时候开始的？
"[['1952年奥斯陆冬季奥运会', '比赛时间', '1952年2月14-1952年2月25日']]",1952 年 奥 斯 陆 冬 季 奥 运 会 的 比 赛 时 间 是 什 么 时 候 ？,1952年奥斯陆冬季奥运会的比赛时间是什么时候,请问1952年奥斯陆冬季奥运会的比赛时间是什么时候？
"[['何家村（云南省会泽县新街回族乡何家村）', '人均耕地', '0.54亩']]",何 家 村 的 人 均 耕 地 有 多 少 ？,何家村的人均耕地面积是多少？,请问何家村的人均耕地面积是多少？
"[['再次飞升', '开始创作时间', '2007年5月21日']]",再 次 飞 升 是 什 么 时 候 开 始 创 作 的 ？,再次飞升是从哪天开始创作的？,请问《再次飞升》是在什么时候开始创作的？
"[['104', '罗马数字', 'CIV']]",104 的 罗 马 数 字 是 什 么 ？,104的罗马数字是多少,104的罗马数字是什么？
"[['Afilia Saga', '旧名', 'AfiliaSagaEast']]",AFilia Saga 的 旧 名 叫 什 么 ？,Afilia Saga的旧名是什么,请问 Afilia Saga 的旧名是什么？
"[['第11届华盛顿影评人协会奖', '最佳男主角', '丹尼尔·戴·刘易斯《林肯》']]",第 11 届 华 盛 顿 影 评 人 协 会 奖 最 佳 男 主 角 是 谁 ？,第11届华盛顿影评人协会奖在哪个电影中获得最佳男主角？,第 11 届 华盛顿 影 评 人 协 会 奖 的 最 佳 男 主 角 是 谁 ？
"[['疼痛病', '治疗', '疼痛诊疗专科']]",请 问 疼 痛 病 的 治 疗 方 法 是 什 么 ？,什么可以治疗疼痛病？,请问疼痛病的治疗方式是什么？
"[['康斯坦茨会议', '会议时间', '1414年至1418年']]",康 斯 坦 茨 会 议 的 会 议 时 间 是 什 么 时 候 ？,康斯坦茨会议是什么时候？,请问康斯坦茨会议是在什么时候举行的？
"[['甩尾（口袋妖怪技能）', '步骤', '朝目标移动直到目标进入射程']]",甩 尾 的 步 骤 是 什 么 ？,甩尾需要哪些步骤？,甩尾这个口袋妖怪技能的具体步骤是什么？
"[['10·12宜兰地震', '震源深度', '9千米']]",你 知 道 10 · 12 宜 兰 地 震 的 震 源 深 度 是 多 深 吗 ？,请问10·12宜兰地震的震源深度是多少,请问10·12宜兰地震的震源深度是多少？
"[['1922年巴西美洲杯', '参赛球队', '巴拉圭、乌拉圭、巴西、阿根廷、智利']]",请 问 1922 年 巴 西 美 洲 杯 的 参 赛 球 队 有 哪 些 ？,有哪些球队参加了1922年巴西美洲杯,请问1922年巴西美洲杯有哪些参赛球队？
"[['武宫正树', '师从', '初为田中三七一，后为木谷实']]",谁 是 武 宫 正 树 的 师 从 ？,武宫正树师从于谁？,武宫正树师从的是谁？
"[['武定（东魏孝静帝年号）', '起始', '543年正月']]",请 问 武 定 是 从 什 么 时 候 开 始 的 ？,你知道武定的起始地在哪吗？,武定这个年号是从什么时候开始的？
"[['湖北莲田食品开发有限公司', '主营业务', '产销售农副产品']]",湖 北 莲 田 食 品 开 发 有 限 公 司 的 主 营 业 务 是 什 么 ？,请问湖北莲田食品开发有限公司的主营业务有哪些？,湖北莲田食品开发有限公司主要销售什么产品？
"[['代庆成', '医师级别', '执业医师']]",你 知 道 代 庆 成 是 什 么 级 别 的 医 师 吗 ？,代庆成的医师级别是什么,代庆成是哪一级别的医师？
"[['文夕大火', '死亡人数', '30000余人']]",文 夕 大 火 的 死 亡 人 数 是 多 少 ？,文夕大火有多少人遇难？,请问文夕大火的死亡人数是多少？
"[['中国人民武装警察部队海警总队', '机构类型', '武警部队下属总队']]",中 国 人 民 武 装 警 察 部 队 海 警 总 队 属 于 什 么 机 构 ？,中国人民武装警察部队海警总队属于什么机构的类型？,中国人民武装警察部队海警总队是哪一类机构？
"[['时间移民', '印张', '11']]",时 间 移 民 的 印 张 是 多 少 ？,请问时间移民的印张是多少？,请问时间移民的印张是多少？
"[['N（掌机游戏《宝可梦》人物）', '养父', '魁奇思']]",谁 是 N 的 养 父 ？,N的养父是谁,请问N的养父是谁？
"[['元气娘（ACGN界用语）', '指代', '乐观充满希望，活泼又可爱女孩子']]",元 气 娘 指 的 是 什 么 ？,你知道元气娘一般都被指代成什么吗？,你知道元气娘在ACGN界指的是什么吗？
"[['中空知美咲', '就读学校', '东京武侦高中']]",中 空 知 美 咲 在 哪 个 学 校 就 读 ？,中空知美咲的就读学校是什么呢,请问中空知美咲是在哪个学校就读的？
"[['烟火阑珊', '作品风格', '正剧']]",烟 火 阑 珊 是 什 么 风 格 的 作 品 ？,你知道烟火阑珊的作品风格属于什么系列吗？,烟火阑珊属于什么类型的作品？
"[['迹象（艺术展览）', '开幕时间', '2021-03-05']]",迹 象 的 开 幕 时 间 是 什 么 时 候 ？,迹象展览是什么时候开幕的？,迹象艺术展览的开幕时间是什么时候？
"[['Tony Lee', '个人荣誉', '“2014最具价值CTO”奖']]",你 知 道 Tony Lee 获 得 过 什 么 荣 誉 吗 ？,Tony Lee有什么荣誉,Tony Lee 有什么荣誉？
"[['七情六欲（唯吾神音编写奇幻修真型小说）', '开始创作时间', '2012年3月17日']]",请 问 七 情 六 欲 是 什 么 时 候 开 始 创 作 的 ？,七情六欲是从哪天开始创作的？,请问七情六欲这本奇幻修真型小说是哪一天开始创作的？
"[['The Bravery（大无畏乐团）', '建馆时间', '2003年']]",你 知 道 The Bravery 是 什 么 时 候 建 的 吗 ？,The Bravery的建馆时间是什么时候,TheBravery的建馆时间是什么时候?
"[['手球（体育类竞技运动）', '组织机构', '国际手球联合会、 亚洲手球联合会、中国手球协会']]",请 问 手 球 的 组 织 机 构 是 什 么 ？,手球的组织结构是什么啊？,请问手球这项运动的组织机构有哪些？
"[['Rong行销', '隶属部门', 'Rong融道（中国）']]",Rong 行 销 隶 属 于 哪 个 部 门 ？,谁知道Rong行销是哪个部门的,请问 Rong 行 销 的 隶属 部门 是 什么 ？
"[['一探究竟', '重播时间', '周六15:01']]",你 知 道 一 探 究 竟 的 重 播 时 间 吗 ？,一探究竟的重播时间是什么时候的,请问一探究竟的节目重播时间是什么时候？
"[['B-36', '飞行速度', '亚音速']]",B - 36 的 飞 行 速 度 是 多 少 ？,B-36的飞行速度多少,B-36 的飞行速度是多少？
"[['三宝（《后宫·如懿传》中如懿的心腹大太监）', '同僚', '容珮、惢心、菱枝、芸枝等']]",谁 是 三 宝 的 同 僚 ？,三宝有哪些同僚啊,请问三宝的同僚有哪些？
"[['SCP-CN-052', '项目编号', 'SCP-CN-052']]",SCP - CN - 052 的 项 目 编 号 是 什 么 ？,请问SCP-CN-052的项目编号是多少？,请问SCP-CN-052的项目编号是什么？
"[[""I'm Not Afraid（刘忻2015年发行单曲EP收录歌曲）"", '版权所有', '天娱音乐']]",你 知 道 I'm Not Afraid 的 版 权 是 什 么 吗 ？,你知道I'm Not Afraid版权属于谁吗,请问 I'm Not Afraid 的版权属于谁？
"[['一定要幸福（2016年中国拍摄影片）', '备案地', '北京市']]",一 定 要 幸 福 的 备 案 地 在 哪 里 ？,一定要幸福的备案地在哪,请问一定要幸福的备案地在哪里？
"[['南澳岛（南海岛屿）', '陆地面积', '113.81平方公里']]",南 澳 岛 的 陆 地 面 积 有 多 大 ？,南澳岛的陆地面积达到多少？,南澳岛的陆地面积是多少？
"[['战略实施', '实现', '企业战略目标']]",你 知 道 战 略 实 施 的 目 的 是 什 么 吗 ？,战略实施的实现意味着什么？,战略实施的目的是什么？
"[['家庭云中心', '首发时间', '2011年12月28日']]",你 知 道 家 庭 云 中 心 的 首 发 时 间 吗 ？,家庭云中心是什么时候首发的？,家庭云中心是哪一天开始发布的？
"[['老表，你好Hea!', '制作统筹', '黄升恺']]",你 知 道 老 表 ， 你 好 Hea! 是 谁 制 作 的 吗 ？,老表，你好Hea!是谁制作的啊？,请问老表，你好Hea! 的统筹是谁负责的？
"[['东皇太一（游戏《太古妖皇诀》中的角色）', '境界', '准圣']]",东 皇 太 一 的 境 界 是 什 么 ？,你知道东皇太一达到了什么境界吗,东皇太一在游戏《太古妖皇诀》中的境界是什么？
"[['TDP', '主要应用', 'CPU']]",TDP 的 主 要 应 用 是 什 么 ？,TDP主要有什么应用？,请问TDP的主要应用是什么？
"[['丘鲁克·奥古斯都·菲列特利加·封·安哈尔特·泽鲁普斯特', '讨厌', '下雨']]",丘 鲁 克 · 奥 古 斯 都 · 菲 列 特 利 加 · 封 · 安 哈 尔 特 · 泽 鲁 普 斯 特 喜 欢 干 什 么 ？,你知道丘鲁克·奥古斯都·菲列特利加·封·安哈尔特·泽鲁普斯特不喜欢什么吗,丘鲁克·奥古斯都·菲列特利加·封·安哈尔特·泽鲁普斯特不喜欢什么天气？
"[['德意志帝国议会', '会议时间', '1871年4月17日']]",德 意 志 帝 国 议 会 的 会 议 时 间 是 什 么 时 候 ？,德意志帝国议会在哪个时间段举行？,德意志帝国议会的会议时间是什么时候？
"[['李中堂乐', '诞生', '1896年']]",李 中 堂 乐 是 什 么 时 候 诞 生 的 ？,李中堂乐的诞生是什么时候？,请问李中堂乐是哪一年出生的？
"[['辰河目连戏', '项目编号', 'Ⅳ-87']]",辰 河 目 连 戏 的 项 目 编 号 是 什 么 ？,辰河目连戏的项目编号是什么？,辰河目连戏的项目编号是什么？
"[['Emo（一种摇滚乐风格）', '流行时间', '1990年代']]",你 知 道 Emo 是 什 么 时 候 流 行 的 吗 ？,Emo大概在什么时间流行的呢,Emo 是在什么时候开始流行的？
"[['FATE NUMBER FOR', '版权所有', 'YG Entertainment']]",FATE NUMBER FOR 的 版 权 属 于 哪 里 ？,FATE NUMBER FOR的版权在谁手上,请问 FATE NUMBER FOR 的版权属于哪里？
"[['东方不败（金庸武侠小说《笑傲江湖》中的人物）', '挚友', '童百熊']]",谁 是 东 方 不 败 的 挚 友 ？,哪个是东方不败的挚友,请问东方不败的挚友是谁？
"[['雨露（吉林省民间故事杂志社主办杂志期刊）', '出版单位', '吉林省民间故事杂志社']]",你 知 道 雨 露 是 哪 个 单 位 出 版 的 吗 ？,告诉我雨露是哪儿出版的?,请问雨露的出版单位是哪个？
"[['丁勉', '师兄', '左冷禅']]",请 问 丁 勉 的 师 兄 是 谁 ？,你认识丁勉的师兄吗,丁勉的师兄是谁？
"[['中岛直美', '讨厌', '甲壳类、救护车警笛、消毒液气味']]",你 知 道 中 岛 直 美 讨 厌 什 么 吗 ？,中岛直美有什么厌恶的呢,中岛直美不喜欢哪些东西？
"[['周琴（贵州毕节阿市中学英语老师）', '主要事件', '被毕节阿市乡国土资源管理所所长王忠贵强奸']]",周 琴 的 主 要 事 件 是 什 么 ？,周琴发生的主要事件是什么？,周琴经历了什么主要事件？
"[['环三都澳区域', '陆地面积', '1630.10平方公里']]",环 三 都 澳 区 域 的 陆 地 面 积 有 多 大 ？,环三都澳区域的陆地有多大？,请问环三都澳区域的陆地面积是多少？
"[['上海马路命名备忘录', '发布', '1862年']]",上 海 马 路 命 名 备 忘 录 是 什 么 时 候 发 布 的 ？,上海马路命名备忘录是什么时候发布的？,请问上海马路命名备忘录是在什么时候发布的？
"[['中部锦龟', '繁殖方式', '卵生']]",你 知 道 中 部 锦 龟 是 如 何 繁 殖 的 吗 ？,我想知道中部锦龟是怎么繁殖的？,中部锦龟的繁殖方式是什么？
"[['西西伯利亚平原', '东西宽', '1500千米']]",你 知 道 西 西 伯 利 亚 平 原 的 东 西 有 多 宽 吗 ？,西西伯利亚平原东西多宽啊？,请问西西伯利亚平原的宽度是多少？
"[['杀虎口（山西省朔州市右玉县境内景区）', '最佳旅游时间', '4月--10月']]",杀 虎 口 的 最 佳 旅 游 时 间 是 什 么 时 候 ？,你清楚杀虎口的最佳旅游时间吗？,请问杀虎口（山西省朔州市右玉县境内景区）的最佳旅游时间是什么时候？
"[['9·7昭通市彝良县地震', '震级', '里氏5.7级']]",9 · 7 昭 通 市 彝 良 县 地 震 的 震 级 是 多 少 ？,谁知道9·7昭通市彝良县地震是多少级？,请问9·7昭通市彝良县地震的震级是多少？
"[['WBO中国区', '登记单位', '北京市东城区建国门外大街9号院齐家园外交公寓7-5-21']]",谁 是 WBO 中 国 区 的 登 记 单 位 ？,WBO中国区的登记单位在那,请问WBO中国区的登记单位是哪里？
"[['七十二层奇楼', '冠名商', 'vivo Xplay6']]",请 问 七 十 二 层 奇 楼 的 冠 名 商 是 谁 ？,你知道谁冠名七十二层奇楼了,请问七十二层奇楼的冠名商是谁？
"[['东水关（江苏省国家5A级旅游景区）', '文保级别', '全国重点文物保护单位']]",你 知 道 东 水 关 的 文 保 级 别 吗 ？,东水关是什么级别的,东水关（江苏省国家5A级旅游景区）的文保级别是什么？
"[['定鼎门', '建筑时间', '隋朝']]",谁 知 道 定 鼎 门 是 什 么 时 候 修 建 的 ？,定鼎门什么时候建设的？,请问定鼎门是什么时候修建的？
"[['114（自然数之一）', '大写', '壹佰壹拾肆']]",请 问 114 的 大 写 是 什 么 ？,114怎么大写啊,请问114的大写数字是什么？
"[['五十岚色叶', '前男友', '筒井光']]",五 十 岚 色 叶 的 前 男 友 叫 什 么 名 字 ？,五十岚色叶以前的男朋友是谁,请问五十岚色叶的前男友是谁？
"[['HUAWEI Mate 9', '出厂系统', 'EMUI 5.0']]",HUAWEI Mate 9 的 出 厂 系 统 是 什 么 ？,HUAWEI Mate 9的出厂系统是什么,请问HUAWEI Mate 9的出厂系统是什么？
"[['澳洲鲭', '俗名', '花腹鲭']]",你 知 道 澳 洲 鲭 的 俗 名 吗 ？,请问澳洲鲭的俗名是什么？,请问澳洲鲭的俗名是什么？
"[['Freddy', '去世日期', '2021年1月27日']]",你 知 道 Freddy 是 什 么 时 候 去 世 的 吗 ？,Freddy是什么时候去世的,请问Freddy是在哪一天去世的？
"[['埋伏（同名手游）', '游戏特征', '塔防']]",埋 伏 的 游 戏 特 征 是 什 么 ？,埋伏这个游戏有哪些特征？,请问埋伏这款手游的游戏特征是什么？
"[['中国科学技术馆（中国国家级综合性科技馆）', '建成', '1988年9月22日']]",中 国 科 学 技 术 馆 是 什 么 时 候 建 成 的 ？,中国科学技术馆的建成面积有多少？,中国科学技术馆是什么时候建成？
"[['特殊教育学专业', '培养目标', '普通教育和特殊教育的知识和能力']]",特 殊 教 育 学 专 业 的 培 养 目 标 是 什 么 ？,特殊教育学专业主要培养目标是什么？,请问特殊教育学专业培养的目标是什么？
"[['双龙村（云南省临沧凤庆县大寺乡双龙村）', '农户', '769户']]",双 龙 村 有 多 少 农 户 ？,双龙村有多少农户？,请问云南省临沧凤庆县大寺乡双龙村有多少农户？
"[['13（2007快乐男声全国13强合辑）', '音乐总监', '袁惟仁']]",谁 是 13 的 音 乐 总 监 ？,13的音乐总监是谁,请问 13 的 音乐总监 是谁？
"[['铁道大厦', '酒店地址', '杭州上城区城站广场8号']]",请 问 铁 道 大 厦 的 具 体 地 址 在 哪 里 ？,麻烦你告诉我一下铁道大厦具体地址？,请问铁道大厦的地址在哪里？
