输入文本,生成问题,参考问题,改写问题
"[['坦克世界R系', '所属系列', '坦克世界'], ['坦克世界', '开发商', 'Wargaming']]",坦 克 世 界 R 系 的 所 属 系 列 ： 将 军 由 哪 里 开 发 ？,坦克世界R系的所属系列：将军由哪里开发？,请问坦克世界R系所属的系列是由哪个公司开发的？
"[['熏衣草系列之漂浮的粉末', '作者', '宫野志保'], ['宫野志保', '配音', '日语版：林原惠美台配版：魏晶琦港配真人版：张颂欣,谢洁丽,语版：林原惠美,台配版：魏晶琦,港配真人版：张颂欣']]",熏 衣 草 系 列 之 漂 浮 的 粉 末 的 作 者 的 配 音 都 有 哪 些 ？,熏衣草系列之漂浮的粉末的作者的配音有谁？,熏衣草系列之漂浮的粉末的作者有哪些配音版本？
"[['血骨吞噬', '作者', '勾股定理'], ['勾股定理', '提出者', '毕达哥拉斯\xa0\xa0赵爽']]",血 骨 吞 噬 的 作 者 是 谁 提 出 的 ？,血骨吞噬的作者是谁提出的？,请问《血骨吞噬》的作者是谁提出的呢？
"[['辉长岩', '成分', '橄榄石'], ['橄榄石', '晶系', '斜方晶系']]",请 问 辉 长 岩 的 成 分 属 于 什 么 晶 系 ？,请问辉长岩的成分属于什么晶系？,请问辉长岩的成分属于什么晶系？
"[['体育健康知识画刊', '类别', '体育健康教育'], ['体育健康教育', '作者', '孙悦'], ['孙悦', '血型', 'a型']]",体 育 健 康 知 识 画 刊 的 类 别 的 作 者 是 什 么 血 型 的 ？,体育健康知识画刊的类别的作者的血型是a还是b？,请问体育健康知识画刊的作者孙悦是哪种血型的？
"[['马杜霉素', '注意事项', '泰妙菌素'], ['泰妙菌素', '分子量', '609.8']]",马 杜 霉 素 的 注 意 事 项 的 分 子 量 是 多 少 ？,马杜霉素的注意事项的分子量是多少？,马杜霉素的注意事项的分子量是多少？
"[['南毛北马之混乱时空', '作者', '连载中'], ['连载中', '中文名', '连载中']]",南 毛 北 马 之 混 乱 时 空 的 作 者 这 本 书 还 在 连 载 中 吗 ？,有人知道医统江山是南毛北马之混乱时空的作者还是已完结吗？,请问《南毛北马之混乱时空》的作者还在连载这本书吗？
"[['饶州', '所属地区', '南唐'], ['南唐', '主要城市', '光州'], ['光州', '市花', '潢川金桂']]",请 问 饶 州 的 所 属 地 区 的 主 要 城 市 的 市 花 是 什 么 啊 ？,请问饶州的所属地区的主要城市的市花是什么啊？,饶州所属的南唐地区的主要城市光州的市花是什么？
"[['宇野研一', '毕业院校', '东北大学'], ['东北大学', '现任校长', '赵继']]",请 问 宇 野 研 一 的 毕 业 院 校 现 在 的 校 长 是 谁 ？,你知道宇野研一的毕业院校现在的校长是谁吗？,宇野研一毕业于哪所大学，这所大学的现任校长是谁？
"[['阿筎那', '出生日期', '10月12日'], ['10月12日', '逝世名人', '张伯伦']]",你 知 道 阿 筎 那 的 出 生 日 期 逝 世 了 哪 个 名 人 吗 ？,你知道阿筎那的出生日期有哪个名人离世吗？,请问阿筎那的出生日期是哪一天，以及这一天逝世了哪位名人？
"[['饭店情景英语', '作者', '罗德'], ['罗德', '生日', '6月20日']]",谁 知 道 饭 店 情 景 英 语 的 作 者 是 哪 一 天 出 生 的 ？,饭店情景英语的作者是几月几日出生的？,请问罗德，也就是《饭店情景英语》的作者，是哪一天出生的？
"[['爱是永恒', '专辑歌手', '杨洋'], ['杨洋', '血型', 'O型']]",爱 是 永 恒 的 专 辑 歌 手 的 血 型 是 什 么 ？,爱是永恒的专辑歌手粉们，爱是永恒的专辑歌手是什么血型的啊,请问《爱是永恒》这张专辑的歌手杨洋的血型是什么？
"[['码头镇', '著名景点', '涿州影视城'], ['涿州影视城', '经营理念', '影视为表,旅游为里,文化为魂']]",码 头 镇 的 著 名 景 点 的 经 营 理 念 如 何 ？,码头镇的著名景点的经营理念如何？,码头镇的著名景点涿州影视城的经营理念是什么？
"[['胡永钢', '毕业院校', '山西大学'], ['山西大学', '学生人数', '15822人']]",胡 永 钢 的 毕 业 院 校 有 多 少 学 生 ？,胡永钢的毕业院校一共有多少学生？,胡永钢的毕业院校山西大学一共有多少学生？
"[['天师长袍', '来源', '热血传奇'], ['热血传奇', '运营方式', '分时间收费区和道具消费区']]",天 师 长 袍 的 来 源 拥 有 怎 样 的 运 营 方 式 ？,天师长袍的来源拥有怎样的运营方式？,天师长袍的来源拥有怎样的运营方式？
"[['自动抄表', '构成', '电能表'], ['电能表', '本质', '测量电能的仪表']]",请 问 自 动 抄 表 的 构 成 的 本 质 是 什 么 ？,请问自动抄表的构成的本质是什么？,请问自动抄表的构成本质是什么？
"[['提亚马特', '登场作品', '永恒之塔'], ['永恒之塔', '发行商', '盛大游戏']]",提 亚 马 特 的 登 场 作 品 的 运 营 商 是 什 么 ？,提亚马特的登场作品的运营商是什么？,请问提亚马特的登场作品的发行商是谁？
"[['石家庄市动物卫生监督所', '隶属', '石家庄市畜牧水产局'], ['石家庄市畜牧水产局', '职责调整', '加强对牧渔业投入品的监管监测。']]",石 家 庄 市 动 物 卫 生 监 督 所 的 隶 属 调 整 了 什 么 职 责 ？,请问石家庄市动物卫生监督所的隶属的职责调整为？,石家庄市动物卫生监督所的职责调整了哪些方面？
"[['党员干部教育读本', '作者', '王宁'], ['王宁', '职业', '演员']]",党 员 干 部 教 育 读 本 的 作 者 是 从 事 什 么 职 业 的 ？,党员干部教育读本的作者是做什么的？,请问《党员干部教育读本》的作者是从事什么职业的？
"[['无环鸟苷软膏', '活性成分', '阿昔洛韦'], ['阿昔洛韦', '不良反应', '皮肤瘙痒或荨麻疹。,皮肤瘙痒或荨麻疹']]",无 环 鸟 苷 软 膏 的 活 性 成 分 有 什 么 不 良 反 应 ？,服用无环鸟苷软膏的活性成分会造成什么不良反应？,无环鸟苷软膏的活性成分阿昔洛韦有哪些不良反应？
"[['李琬', '别名', '李滉'], ['李滉', '中文名', '李滉']]",你 知 道 李 琬 的 别 名 的 中 文 名 是 什 么 吗 ？,请问李琬的别名翻译成朝鲜汉字是什么？,请问李琬的别名的中文名是什么？
"[['人生特别档案', '主演', '丹江'], ['丹江', '别称', '丹河'], ['丹河', '古称', '丹水']]",人 生 特 别 档 案 的 主 演 的 别 称 古 代 称 什 么 ？,人生特别档案的主演的别称古代称什么？,请问《人生特别档案》的主演丹江的别称和古称是什么？
"[['浮山剪纸', '种类', '礼花'], ['礼花', '应用范围', '节日助兴']]",你 知 道 浮 山 剪 纸 的 种 类 应 用 在 哪 里 吗 ？,浮山剪纸的种类应用在哪个方面？,浮山剪纸的种类应用在哪个方面？
"[['上议院', '类型', '议会'], ['议会', '中文名', '议会']]",请 问 上 议 院 的 类 型 是 什 么 性 质 ？,请问缅甸联邦上议院的类型是什么性质？,请问上议院的性质是什么？
"[['王者的智慧', '作者', '王健'], ['王健', '职务', '教授']]",王 者 的 智 慧 的 作 者 是 什 么 职 位 ？,你知道王者的智慧的作者的职务是什么吗？,请问《王者的智慧》的作者是做什么的？
"[['伊芙丽服饰', '中文名称', '伊芙丽'], ['伊芙丽', '源于', 'Elegant I,Faith I,Natural I']]",伊 芙 丽 服 饰 的 中 文 名 称 起 源 于 哪 里 ？,请问伊芙丽服饰的中文名称起源于哪里？,伊芙丽服饰的中文名称起源于哪里？
"[['GNSPRO', '中文名称', '冠思铂'], ['冠思铂', '源于', '香港']]",请 问 GNSPRO 的 中 文 名 称 起 源 于 哪 里 ？,GNSPRO的中文名称源于哪里？,请问GNSPRO的中文名称起源于哪里？
"[['Boko Haram', '中文名', '博科圣地'], ['博科圣地', '领导人', '阿布巴卡尔·谢考']]",Boko Haram 的 中 文 名 的 领 导 人 是 谁 ？,谁是Boko Haram的中文名的领导人？,Boko Haram 的中文名字的领导人是谁？
"[['优姿品', '主营', '脂肪发酵素'], ['脂肪发酵素', '作用', '代谢'], ['代谢', '英文', '(v.) metabolize,\xa0 metabolism']]",优 姿 品 的 主 营 的 作 用 的 英 文 怎 么 说 ？,优姿品的主营的作用的英文怎么说？,请问优姿品主营的脂肪发酵素在英文中如何表达？
"[['人人斑竹网', '性质', '网络营销平台'], ['网络营销平台', '是指', '网站']]",什 么 事 人 人 斑 竹 网 的 性 质 ？,什么事人人斑竹网的性质？,人人斑竹网是什么性质的平台？
"[['色列斯', '国籍', '罗马'], ['罗马', '火车站', '罗马中央火车站,罗马蒂泊蒂娜火车站']]",有 人 知 道 色 列 斯 的 国 籍 有 什 么 火 车 站 吗 ？,色列斯的国籍有什么火车站？,请问罗马有哪些火车站？
"[['山东齐利得重工机械有限公司', '经营范围', '桥式'], ['桥式', '词意', '一种瑜伽动作']]",山 东 齐 利 得 重 工 机 械 有 限 公 司 的 经 营 范 围 的 词 意 是 什 么 ？,请问山东齐利得重工机械有限公司的经营范围的意思是什么？,山东齐利得重工机械有限公司的经营范围指的是什么？
"[['球水母', '地区', '东海'], ['东海', '平均水深', '349米']]",请 问 球 水 母 的 地 区 平 均 有 多 深 ？,请问球水母的地区平均有多深？,请问球水母所在的地区平均水深是多少米？
"[['奇侠', '主要角色', '独孤'], ['独孤', '出自', '刘姓'], ['刘姓', '主要分布', '日本']]",奇 侠 的 主 要 角 色 的 出 自 都 在 哪 些 地 方 有 ？,请问奇侠的主要角色的出自都在哪些地方有？,奇侠的主要角色独孤出自哪里，主要分布在哪里？
"[['咖啡馆', '建立者', '土耳其人'], ['土耳其人', '文字', '拉丁字母']]",咖 啡 馆 的 建 立 者 用 什 么 文 字 ？,咖啡馆的建立者用什么文字？,请问咖啡馆的建立者使用的是哪种文字？
"[['称霸天下', '发行商', '动网先锋网络科技有限公司'], ['动网先锋网络科技有限公司', '合作伙伴', '360安全卫士'], ['360安全卫士', '软件类型', '安全杀毒软件']]",称 霸 天 下 的 发 行 商 的 合 作 伙 伴 使 用 什 么 软 件 ？,你了解称霸天下的发行商的合作伙伴这款软件属于什么类型吗？,请问发行商为称霸天下的动网先锋网络科技有限公司的合作伙伴使用的是哪种类型的软件？
"[['哈莱王后', '登场作品', '巴啦啦小魔仙之奇迹舞步'], ['巴啦啦小魔仙之奇迹舞步', '角色设计', '凌美琪'], ['凌美琪', '饰演者', '孙圳,赵今麦,周利书']]",请 问 哈 莱 王 后 的 登 场 作 品 的 角 色 设 计 都 演 过 哪 些 角 色 呀 ？,我想知道哈莱王后的登场作品的角色设计都演过哪些角色呀？,哈莱王后出演过哪些角色呢？
"[['霸王别姬', '出品公司', '上海市文化广播影视管理局'], ['上海市文化广播影视管理局', '公司名称', '上海市文化广播影视管理局']]",霸 王 别 姬 的 出 品 公 司 的 名 称 叫 什 么 ？,霸王别姬的出品公司的官方外网首页叫什么？,请问《霸王别姬》的出品公司名称是什么？
"[['海南国际旅游岛', '民族', '黎族'], ['黎族', '所在地区', '海南省']]",海 南 国 际 旅 游 岛 的 民 族 在 哪 里 ？,你知道海南国际旅游岛的民族在哪里吗？,请问海南国际旅游岛的民族主要分布在哪个地区？
"[['卡通成语故事（上、下册）', '副标题', '完璧归赵'], ['完璧归赵', '发生地点', '秦国']]",卡 通 成 语 故 事 （ 上 、 下 册 ） 的 副 标 题 发 生 在 什 么 地 方 ？,卡通成语故事（上、下册）的副标题 发生在什么地方？,卡通成语故事（上、下册）的副标题发生在哪里？
"[['布依族', '节日', '三月三'], ['三月三', '节日饮食', '五色糯米饭']]",请 问 布 依 族 的 节 日 有 什 么 饮 食 习 惯 ？,布依族的节日有什么饮食习惯？,布依族的节日有哪些饮食传统？
"[['莱维斯曼动作', '代表', '武直-10'], ['武直-10', '服役', '2012年11月18日']]",你 知 道 莱 维 斯 曼 动 作 的 代 表 服 役 了 多 久 吗 ？,莱维斯曼动作的代表什么时候开始服役的？,莱维斯曼动作的代表武直-10是从哪一年开始服役的？
"[['活色生香', '其它译名', '蝶香'], ['蝶香', '接档', '武媚娘传奇'], ['武媚娘传奇', '首播时间', '2014年12月21日']]",活 色 生 香 的 其 它 译 名 的 接 档 什 么 时 候 开 播 的 ？,活色生香的其它译名的接档什么时候开播的？,活色生香的其它译名接档的电视剧是哪一部，它什么时候开始播放的？
"[['拒入黑道：和不良少年战斗的日子', '作者', '抚琴的人'], ['抚琴的人', '签约网站', '磨铁中文网\xa0创世中文网\xa0黑岩阅读']]",请 问 拒 入 黑 道 ： 和 不 良 少 年 战 斗 的 日 子 的 作 者 签 约 了 什 么 网 站 ？,拒入黑道：和不良少年战斗的日子的作者签约了什么网站？,请问《拒入黑道：和不良少年战斗的日子》的作者是签约了哪些网站呢？
"[['上海臣唐广告有限公司', '经营范围', '广告'], ['广告', '本质', '为了某种目的,广泛的传递信息']]",上 海 臣 唐 广 告 有 限 公 司 的 经 营 范 围 的 本 质 是 什 么 ？,谁能告诉我上海臣唐广告有限公司的经营范围的本质是什么？,请问上海臣唐广告有限公司的经营范围的本质是什么？
"[['前卫风格家居', '代表', '藤制家具'], ['藤制家具', '优点', '环保']]",前 卫 风 格 家 居 的 代 表 有 哪 些 优 点 ？,前卫风格家居的代表有什么优势吗？,前卫风格家居的代表有哪些优点？
"[['冀馆春夕见月', '作者', '宋朝'], ['宋朝', '主要城市', '西京河南府,北京大名府,南京应天府\xa0,临安,西京（今洛阳）,北京（今大名）,建康,南京（今商丘）']]",冀 馆 春 夕 见 月 的 作 者 主 要 有 哪 些 城 市 ？,冀馆春夕见月的作者主要都有哪些城市？,冀馆春夕见月的作者主要活动在哪些城市？
"[['LOVE', '中文名', '爱'], ['爱', '制片地区', '大陆']]",爱 的 中 文 名 是 在 哪 里 发 行 的 ？,LOVE的中文名上星期六属于哪里的？,请问爱的中文名是在哪里发行的？
"[['宁俞', '别名', '宁武子'], ['宁武子', '原文', '子曰：“宁武子(1)']]",宁 俞 的 别 名 的 原 文 是 什 么 ？,宁俞的别名的原文是什么？,请问宁俞的别名在原文中的表述是什么？
"[['殷离', '父亲', '殷野王'], ['殷野王', '所处时代', '元末']]",殷 离 的 父 亲 处 于 什 么 时 代 ？,殷离的父亲 处于什么时代？,请问殷离的父亲殷野王是处于哪个时代的？
"[['莽山铁烙头蛇', '种', '莽山烙铁头'], ['莽山烙铁头', '命名人', '陈远辉\xa0赵尔宓']]",莽 山 铁 烙 头 蛇 的 种 是 哪 个 命 名 的 ？,莽山铁烙头蛇的种是根据谁命名的？,请问莽山铁烙头蛇的种是由谁命名的？
"[['12月13日', '节日', '南京大屠杀死难者国家公祭日'], ['南京大屠杀死难者国家公祭日', '设定时间', '2014年2月27日']]",12 月 13 日 的 节 日 是 什 么 时 候 设 定 的 时 间 ？,12月13日的节日是什么时候设定的？,请问南京大屠杀死难者国家公祭日是在哪一天被设定的？
"[['全体大用诀', '人物', '杨班侯'], ['杨班侯', '师傅', '杨露禅'], ['杨露禅', '子', '杨健侯']]",全 体 大 用 诀 的 人 物 的 师 傅 的 儿 子 是 谁 ？,你知道全体大用诀的人物的师傅的儿子是谁吗？,全体大用诀的人物杨班侯的师傅是谁的儿子？
"[['和平主义者军团', '出生地', '世界政府'], ['世界政府', '创立者', '20个有野心的国王']]",和 平 主 义 者 军 团 的 出 生 地 有 哪 些 创 立 者 ？,请问是谁建立了和平主义者军团的出生地啊？,请问和平主义者军团的出生地有哪些创立者？
"[['丸美金沙海蓝防晒精华隔离乳', '隶属公司', '丸美'], ['丸美', '代言人', '杨子姗']]",丸 美 金 沙 海 蓝 防 晒 精 华 隔 离 乳 的 隶 属 公 司 现 在 是 哪 个 代 言 人 ？,丸美金沙海蓝防晒精华隔离乳的隶属公司曾经有过哪些代言人？,丸美金沙海蓝防晒精华隔离乳的隶属公司现在由谁代言？
"[['冷冻水机房空调', '应用范围', '医药生物'], ['医药生物', '发展方向', '基因工程的加工技术来生产蛋白质']]",谁 知 道 冷 冻 水 机 房 空 调 的 应 用 范 围 可 以 往 哪 些 方 向 发 展 ？,谁能告诉我冷冻水机房空调的应用范围可以往哪些方向发展？,请问冷冻水机房空调的应用范围在哪些方向上有所发展？
"[['市井小民', '近义词', '市井小人'], ['市井小人', '【释义】', '：指城市中庸俗鄙陋之人。']]",市 井 小 民 的 近 义 词 怎 样 理 解 ？,请问市井小民的近义词是什么意思啊？,市井小民的近义词是什么意思？
"[['哥尔多尼', '主要作品', '一仆二主'], ['一仆二主', '出品公司', '新丽传媒股份有限公司']]",哥 尔 多 尼 的 主 要 作 品 是 哪 个 公 司 出 品 的 ？,请问哥尔多尼的主要作品是哪个公司出品的？,请问哥尔多尼的主要作品是由哪家公司出品的？
"[['103国道', '终点站', '上海虹桥站'], ['上海虹桥站', '车站位置', '上海市闵行区申虹路']]",103 国 道 的 终 点 站 在 哪 里 ？,谁知道103国道的终点站的位置在哪里？,请问103国道的终点站是哪里？
"[['花鸟画学谱-海棠', '副标题', '海棠'], ['海棠', '亚科', '苹果亚科']]",花 鸟 画 学 谱 - 海 棠 的 副 标 题 属 于 什 么 亚 科 ？,植物大神们，花鸟画学谱-海棠的副标题是属于哪个亚科的,请问《花鸟画学谱-海棠》的副标题属于哪个亚科？
"[['异丙东莨菪碱', '别名', '溴化异丙东莨菪碱'], ['溴化异丙东莨菪碱', '性状', '气雾剂']]",异 丙 东 莨 菪 碱 的 别 名 是 做 什 么 用 的 ？,异丙东莨菪碱的别名是什么形状的？,请问异丙东莨菪碱的别名是用于什么用途的？
"[['商河县', '特产', '马蹄烧饼'], ['马蹄烧饼', '起源地', '河北省保定市安国市']]",商 河 县 的 特 产 起 源 于 哪 里 ？,商河县的特产起源于哪里？,商河县的特产是哪里来的？
"[['屌丝女士', '主演', '马克·本杰明·普赫'], ['马克·本杰明·普赫', '代表作品', '屌丝女士'], ['屌丝女士', '单集片长', '第二季']]",屌 丝 女 士 的 主 演 的 代 表 作 品 一 集 有 多 长 ？,屌丝女士的主演的代表作品一集有多长？,请问，屌丝女士的主演马克·本杰明·普赫的代表作品单集片长是多少？
"[['硬汉奶爸', '制片地区', '深圳'], ['深圳', '市树', '荔枝']]",请 问 硬 汉 奶 爸 的 制 片 地 区 的 市 树 是 什 么 ？,请问硬汉奶爸的制片地区的市树是什么？,请问硬汉奶爸的制片地区的市树是什么？
"[['酷航C7C', '品牌', '酷航'], ['酷航', '枢纽机场', '新加坡樟宜国际机场']]",酷 航 C7C 的 品 牌 有 哪 些 枢 纽 机 场 ？,我想知道酷航C7C的品牌的枢纽机场是哪？,酷航C7C的品牌有哪些枢纽机场？
"[['天津西沽公园', '著名景点', '海棠'], ['海棠', '属', '木瓜属']]",我 想 知 道 天 津 西 沽 公 园 的 著 名 景 点 是 植 物 里 的 哪 个 属,你知道天津西沽公园的著名景点是植物里的哪个属吗？,请问天津西沽公园的著名景点是哪个属的植物？
"[['栖霞艾山自然风景区', '著名景点', '石猴'], ['石猴', '别名', '孙悟空'], ['孙悟空', '师父', '菩提祖师']]",谁 是 栖 霞 艾 山 自 然 风 景 区 的 著 名 景 点 的 别 名 师 父 ？,谁是栖霞艾山自然风景区的著名景点的别名的师父？,请问栖霞艾山自然风景区的著名景点的别名和师父是谁？
"[['死神VS火影', '主要角色', '漩涡鸣人'], ['漩涡鸣人', '女儿', '漩涡向日葵'], ['漩涡向日葵', '哥哥', '漩涡博人']]",请 问 死 神 VS 火 影 的 主 要 角 色 的 女 儿 的 哥 哥 是 谁 啊 ？,请问死神VS火影的主要角色的女儿的哥哥是谁啊？,死神 VS 火影的主要角色的女儿的哥哥是谁？
"[['黑熊精', '其他名称', '熊大'], ['熊大', '口头禅', '熊,就该有个熊样！']]",什 么 是 黑 熊 精 的 其 他 名 称 的 口 头 禅 ？,什么是黑熊精的其他名称的口头禅？,黑熊精的另一个名字熊大的口头禅是什么？
"[['美少女战士真人版', '主演', '泉里香'], ['泉里香', '毕业院校', '明治大学'], ['明治大学', '主要院系', '理工']]",美 少 女 战 士 真 人 版 的 主 演 的 毕 业 院 校 有 哪 些 主 要 院 系 ？,美少女战士真人版的主演的毕业院校有哪些主要院系？,美少女战士真人版的主演泉里香毕业于哪所大学，这所大学的主要院系有哪些？
"[['逃之恋', '导演', '伍卫国'], ['伍卫国', '代表作品', '红楼梦'], ['红楼梦', '编剧', '潘藩']]",你 知 道 逃 之 恋 的 导 演 的 代 表 作 品 的 编 剧 是 谁 吗 ？,请问逃之恋的导演的代表作品的编剧是谁？,逃之恋的导演代表作品的编剧是谁？
"[['疯狂的小兵', '别名', '民兵葛二蛋'], ['民兵葛二蛋', '策划', '陈琦']]",谁 是 疯 狂 的 小 兵 的 别 名 的 策 划 ？,谁是疯狂的小兵的别名的策划？,请问，疯狂的小兵的别名的策划者是谁？
"[['泡面的幸福', '混音', '王兴'], ['王兴', '信仰', '佛教']]",泡 面 的 幸 福 的 混 音 有 哪 些 宗 教 信 仰 ？,泡面的幸福的混音有什么宗教信仰吗？,请问，泡面的幸福的混音中，有哪些宗教信仰？
"[['杰里·伦敦', '别名', 'Jerome'], ['Jerome', '沉船的名字', '泰坦尼克号'], ['泰坦尼克号', '排水量', '52310英吨(46328吨)']]",杰 里 · 伦 敦 的 别 名 的 沉 船 的 名 字 可 以 排 水 多 少 吨 ？,杰里·伦敦的别名的沉船的名字可以排水多少吨？,杰里·伦敦的别名泰坦尼克号的排水量是多少吨？
"[['伊娥', '配偶', '宙斯'], ['宙斯', '子女', '赫拉克勒斯']]",伊 娥 的 配 偶 的 子 女 是 谁 ？,伊娥的配偶的子女是谁？,伊娥的配偶宙斯的子女是谁？
"[['三大骑士团', '分支', '条顿骑士团'], ['条顿骑士团', '指挥官', 'Hochmeister Bruno Platter']]",谁 指 挥 了 三 大 骑 士 团 的 分 支 ？,谁指挥了三大骑士团的分支？,请问三大骑士团的分支是由谁指挥的？
